Project,Last_Activity,Contributors,Stargazers
cloudflare/gokeyless/,2024-11-12 17:55:22+00:00,27.0,472.0
cloudfoundry/docs-cloudfoundry-concepts/,2024-11-11 19:53:19+00:00,30.0,42.0
cloudfoundry/docs-dev-guide/,2024-11-01 20:15:21+00:00,30.0,39.0
cloudify-cosmo/getcloudify.org/,2024-07-25 15:07:52+00:00,30.0,25.0
SafirSDK/safir-sdk-core/,2024-07-26 11:01:26+00:00,5.0,9.0
saki4510t/UVCCamera/,2024-11-13 02:53:57+00:00,7.0,3018.0
samueljero/snake/,2024-10-23 12:30:09+00:00,30.0,14.0
sangnvus/2015FALLJS01/,2024-08-23 01:41:48+00:00,4.0,0.0
santanche/java2learn/,2024-05-21 17:17:02+00:00,3.0,32.0
satbirkira/financeapp/,2024-01-29 17:47:02+00:00,3.0,4.0
savoirfairelinux/ring-daemon/,2024-11-12 22:04:41+00:00,30.0,144.0
sbhatore/SSAD46/,2024-07-10 12:01:23+00:00,5.0,1.0
SBR2015/ootalk/,2024-01-02 20:48:05+00:00,9.0,2.0
schubergphilis/Seccubus_v2/,2024-11-12 05:26:03+00:00,16.0,696.0
SciAid/SciAid_desktop/,2024-07-21 05:02:30+00:00,3.0,91.0
scikit-beam/scikit-beam/,2024-07-23 05:05:39+00:00,27.0,93.0
scipy-conference/scipy_proceedings_2015/,2024-06-20 23:32:13+00:00,30.0,8.0
sculptor/sculptor.github.io/,2024-09-18 06:28:58+00:00,30.0,1.0
seba--/sugarj/,2024-05-06 08:00:59+00:00,6.0,39.0
sebastianbergmann/phpunit-documentation/,2023-11-17 06:58:22+00:00,30.0,189.0
sebastianrahtz/oxgarage/,2024-08-26 16:24:19+00:00,3.0,54.0
sebkopf/isoread/,2024-05-07 19:19:55+00:00,2.0,4.0
seblefevre/testerman/,2024-07-17 06:55:29+00:00,3.0,11.0
sebnil/Sketchy-Truck/,2024-08-16 23:15:07+00:00,4.0,29.0
seeburger-ag/jbossts/,2023-12-01 17:55:17+00:00,3.0,0.0
SeNDA-UAB/aDTNPlus/,2024-09-11 13:30:39+00:00,3.0,4.0
sequenceiq/cloudbreak-docs/,2023-11-27 23:01:09+00:00,17.0,0.0
SeqWare/seqware/,2024-08-21 18:55:54+00:00,18.0,27.0
seriesrenamer/seriesrenamer/,2024-02-25 12:12:57+00:00,4.0,2.0
shamanDevel/ProceduralTerrain/,2024-04-15 22:22:55+00:00,2.0,16.0
shihyu/MyTool/,2024-09-07 10:47:15+00:00,2.0,32.0
ShipSoft/FairShip/,2024-11-14 09:54:02+00:00,30.0,23.0
shopware/devdocs/,2024-11-04 22:46:45+00:00,30.0,137.0
showcheap/SiPUS/,2024-06-30 17:44:32+00:00,3.0,12.0
shreyasvalmiki/SEProject/,2023-12-06 05:04:17+00:00,3.0,1.0
siconos/siconos/,2024-10-28 16:47:00+00:00,12.0,162.0
Sidnioulz/SandboxThunar/,2024-10-18 07:27:42+00:00,30.0,0.0
sigasi/sigasi_insights/,2024-11-04 11:23:53+00:00,11.0,2.0
Signiant/CruiseControl/,2024-01-23 19:09:14+00:00,2.0,83.0
signove/antidote/,2024-05-03 10:23:47+00:00,3.0,48.0
sillsdev/libpalaso/,2024-11-12 04:41:14+00:00,30.0,44.0
silnrsi/smith/,2024-11-11 23:19:27+00:00,11.0,14.0
simoc/csvjdbc/,2024-11-07 02:47:30+00:00,8.0,83.0
simple-android-framework/android_design_patterns_analysis/,2024-11-12 11:19:25+00:00,9.0,2683.0
SimVascular/simvascular.github.io/,2024-11-07 06:40:20+00:00,9.0,0.0
SINTEF-9012/ThingML/,2024-10-07 04:57:42+00:00,19.0,103.0
SINTEF-SIT/project_gravity/,2024-03-09 07:57:53+00:00,7.0,19.0
SINTEFMedtek/CustusX/,2024-11-04 16:38:50+00:00,16.0,63.0
sipsorcery/sipsorcery/,2024-11-14 14:10:51+00:00,30.0,1476.0
sipXtapi/sipXtapi/,2024-05-11 01:06:47+00:00,7.0,33.0
sitkatech/miradi-client/,2024-08-08 16:59:10+00:00,4.0,3.0
siwiwit/bpmn2soaml/,2024-02-20 02:43:44+00:00,2.0,2.0
slebok/zoo/,2024-08-08 01:53:27+00:00,2.0,84.0
SleeplessByte/programming-life/,2024-09-12 13:45:00+00:00,6.0,18.0
SlimRoms/frameworks_base/,2024-09-17 19:29:10+00:00,30.0,41.0
slopezv2/Maya-Calendar/,2024-08-18 14:29:44+00:00,2.0,1.0
slvrgauthier/OpenSculpt/,2024-02-18 19:16:10+00:00,3.0,3.0
smart-conn/alljoyn-zh/,2024-03-14 07:27:02+00:00,3.0,17.0
smartdevicelink/sdl_core/,2024-10-08 03:48:05+00:00,30.0,241.0
smartdevicelink/sdl_server/,2024-03-04 21:08:06+00:00,14.0,20.0
SnowFox108/NexusCore3/,2024-06-19 10:24:00+00:00,2.0,0.0
snowplow/snowplow.github.com/,2024-07-30 10:55:01+00:00,20.0,16.0
soapower/soapower/,2024-01-25 06:05:15+00:00,4.0,14.0
SOM-Research/EMFtoCSP/,2024-03-02 15:45:08+00:00,5.0,14.0
SonarSource/sonar-java/,2024-11-14 16:49:45+00:00,30.0,1133.0
SonarSource/sonar-maven/,2024-11-08 10:13:54+00:00,30.0,147.0
SonarSource/sonarqube/,2024-11-14 14:18:55+00:00,30.0,9096.0
sones/sones/,2024-11-12 20:04:40+00:00,5.0,213.0
SparklineData/spark-druid-olap/,2024-09-23 11:25:01+00:00,5.0,284.0
sparkslabs/kamaelia/,2024-09-02 22:24:12+00:00,3.0,12.0
spcs/synaps/,2024-08-31 00:54:47+00:00,4.0,17.0
SPDLDaemon/spdldaemon.github.io/,2024-06-21 19:25:37+00:00,2.0,0.0
SpineEventEngine/core-java/,2024-11-11 16:44:20+00:00,19.0,36.0
spiral/guide/,2024-09-02 08:37:08+00:00,30.0,41.0
Splamy/TS3AudioBot/,2024-11-14 13:01:16+00:00,12.0,698.0
SpoonLabs/astor/,2024-11-13 08:36:13+00:00,26.0,206.0
spring-projects/spring-batch/,2024-11-14 05:25:06+00:00,30.0,2728.0
spring-projects/spring-framework/,2024-11-14 16:54:44+00:00,30.0,56640.0
spring-projects/spring-net/,2024-11-06 04:08:08+00:00,30.0,851.0
SquareBracketAssociates/PharoMooc/,2024-09-21 15:05:58+00:00,11.0,19.0
sriram-mahavadi/extlp/,2024-04-26 05:27:19+00:00,3.0,2.0
sshum/bcit-courses/,2024-09-25 17:39:34+00:00,6.0,1.0
sslab-gatech/juxta/,2024-09-03 13:23:09+00:00,2.0,23.0
Star2Billing/a2billing/,2024-11-11 21:14:22+00:00,17.0,182.0
Starlink/starjava/,2024-11-08 10:36:09+00:00,10.0,95.0
start-x/relatorio/,2024-11-07 00:02:54+00:00,11.0,0.0
starviewer-medical/starviewer/,2024-11-12 12:51:15+00:00,16.0,140.0
statismo/statismo/,2024-11-02 12:32:09+00:00,12.0,268.0
stcarrez/ada-util/,2024-11-11 16:16:10+00:00,7.0,69.0
stcarrez/dynamo/,2024-10-13 17:58:04+00:00,3.0,17.0
steedos/odoo8/,2023-11-19 20:13:11+00:00,2.0,2.0
stefan-ka/stefan-ka.github.io/,2024-06-19 08:23:45+00:00,16.0,0.0
Stefku/intellij-reference-diagram/,2024-11-14 12:13:33+00:00,3.0,108.0
Steve132/pfstools/,2024-01-23 14:46:29+00:00,3.0,12.0
stoyanr/Evictor/,2024-09-03 06:07:48+00:00,2.0,81.0
stritti/log4js/,2024-10-25 17:21:56+00:00,8.0,449.0
strongloop/strong-arc/,2024-10-29 11:16:00+00:00,17.0,115.0
stupidisum/stupidisum.github.io/,2024-11-04 04:06:54+00:00,3.0,1.0
stxxl/website/,2024-05-17 16:41:38+00:00,2.0,0.0
suavecode/SUAVE/,2024-11-13 14:01:05+00:00,29.0,415.0
sunnypatel/Classwork/,2024-08-22 22:38:19+00:00,2.0,21.0
SuppenGeist/pse-ws1516-videoencoder-ta/,2023-12-15 18:41:53+00:00,5.0,1.0
swissbib/sbvf2/,2024-08-09 05:35:00+00:00,25.0,10.0
symfony-cmf/symfony-cmf-docs/,2024-01-29 11:15:22+00:00,30.0,44.0
symfony/symfony1-docs/,2024-11-03 23:17:58+00:00,30.0,103.0
synrc/n2o/,2024-11-13 10:37:36+00:00,30.0,1343.0
SysMLModelicaIntegration/edu.ufc.femtost.disc.sysml2modelica/,2024-08-01 09:35:39+00:00,2.0,20.0
Tatwi/legend-of-hondo/,2024-04-25 22:51:40+00:00,30.0,9.0
TeamDev-Ltd/OpenFaces/,2023-12-19 11:15:22+00:00,14.0,28.0
TeamPTTKPM/WindowPhone/,2024-06-18 09:56:58+00:00,2.0,2.0
TeamSPoon/PrologMUD/,2024-04-02 00:51:39+00:00,2.0,30.0
TeamW/Sports-Elimination-TP3/,2023-12-10 21:09:03+00:00,3.0,2.0
tehtechguy/mHTM/,2024-10-06 17:46:53+00:00,2.0,25.0
telefonicaid/fiware-cygnus/,2024-11-14 15:56:33+00:00,30.0,64.0
telefonicaid/perseo-core/,2024-09-30 11:42:25+00:00,19.0,11.0
telldus/telldus/,2024-09-09 12:44:16+00:00,10.0,64.0
terasolunaorg/terasolunaorg.github.com/,2024-09-14 02:13:09+00:00,21.0,46.0
terrameta/plasma/,2024-06-14 20:07:04+00:00,2.0,3.0
textlint/textlint/,2024-11-12 02:04:52+00:00,30.0,2848.0
TGM-HIT/protocols/,2024-10-11 16:49:09+00:00,3.0,11.0
the-butterfly-effect/tbe/,2024-11-13 18:38:24+00:00,6.0,97.0
the-virtual-brain/tvb-library/,2024-07-16 03:28:13+00:00,22.0,82.0
the-virtual-brain/tvb-pin-paper/,2024-07-16 03:37:54+00:00,4.0,2.0
Theadd/juced/,2023-12-11 09:51:16+00:00,3.0,28.0
TheAnswer/Core3/,2024-11-14 05:21:34+00:00,30.0,69.0
theforeman/hammer-cli/,2024-11-14 14:55:44+00:00,30.0,98.0
theodore-norvell/the-teaching-machine-and-webwriter/,2024-01-13 23:54:22+00:00,8.0,3.0
thexa4/perfectpong/,2024-10-15 01:08:22+00:00,2.0,1.0
thirtythreeforty/pikyak/,2024-08-16 02:53:24+00:00,2.0,2.0
thomas-maeder/popeye/,2024-08-28 22:58:24+00:00,6.0,31.0
tiberiusferreira/VilmaProject/,2024-06-03 22:24:46+00:00,2.0,4.0
tiku01/oryx-editor/,2024-05-15 11:18:09+00:00,2.0,18.0
TimLethbridge/umple/,2024-11-14 12:57:44+00:00,30.0,0.0
timolson/cointrader/,2024-11-09 17:59:10+00:00,10.0,454.0
tine20/Tine-2.0-Open-Source-Groupware-and-CRM/,2024-11-02 18:58:52+00:00,30.0,156.0
tk-codes/uno/,2024-11-08 23:20:12+00:00,2.0,105.0
tmtxt/tmtxt.github.com/,2024-10-25 00:24:06+00:00,22.0,9.0
toanqc/familydoctor/,2024-05-03 13:32:54+00:00,4.0,25.0
Todd-Davies/second-year-notes/,2024-06-02 04:31:22+00:00,2.0,9.0
tonyrog/canopen/,2023-11-22 23:35:40+00:00,2.0,16.0
tonystone/geofeatures/,2023-12-04 06:40:30+00:00,3.0,26.0
tourdedave/elemental-selenium-tips/,2024-05-18 08:18:30+00:00,8.0,285.0
toutpt/collective.trainingmanual/,2024-03-29 16:08:48+00:00,4.0,0.0
tracecompass/tracecompass/,2024-08-27 02:35:09+00:00,30.0,74.0
traitify/traitify-php/,2024-04-27 12:14:35+00:00,5.0,5.0
Trench-Wars/twcore/,2024-08-29 00:00:36+00:00,2.0,5.0
trungdq88/insurance-card/,2024-11-04 15:04:13+00:00,4.0,1.0
trustathsh/tnc-fhh/,2024-10-18 07:50:11+00:00,3.0,26.0
tsantalis/RefactoringMiner/,2024-11-14 17:03:01+00:00,16.0,371.0
tupilabs/tap4j/,2024-05-14 06:59:04+00:00,7.0,31.0
TYPO3-Documentation/TYPO3CMS-Reference-CoreApi/,2024-11-15 08:23:19+00:00,30.0,22.0
UESTC-ACM/CDOJ/,2024-08-24 02:05:18+00:00,9.0,78.0
uhhpctools/openuh/,2024-06-08 12:14:36+00:00,7.0,53.0
ujhelyiz/EMF-IncQuery-Examples/,2024-04-22 16:11:05+00:00,11.0,8.0
Ultimaker/Uranium/,2024-11-07 08:45:37+00:00,30.0,326.0
umple/umple/,2024-11-13 14:36:32+00:00,30.0,258.0
UmSenhorQualquer/pyforms/,2024-11-12 11:57:31+00:00,4.0,648.0
UmSenhorQualquer/pythonVideoAnnotator/,2024-10-11 05:54:39+00:00,5.0,69.0
UMWRG/pynsim/,2024-09-16 21:36:45+00:00,2.0,48.0
unconed/MathBox.js/,2024-11-08 09:55:36+00:00,5.0,1945.0
Unidata/awips2/,2024-11-14 08:16:50+00:00,2.0,177.0
Unidata/netcdf-c/,2024-11-14 19:48:53+00:00,30.0,516.0
Unidata/thredds/,2024-09-30 09:02:00+00:00,30.0,265.0
universAAL/applications/,2024-04-09 07:27:46+00:00,9.0,2.0
universAAL/ontology/,2024-09-06 05:54:56+00:00,9.0,13.0
unknown-horizons/unknown-horizons/,2024-11-12 20:23:59+00:00,30.0,1426.0
unl/UNL_UCBCN_System/,2024-09-17 13:43:05+00:00,14.0,1.0
utkuaydin/marble/,2024-01-10 19:59:40+00:00,30.0,0.0
utn-frm-si/reservas/,2024-08-28 12:29:03+00:00,2.0,2.0
uts-magic-lab/Magiks/,2024-08-13 05:16:35+00:00,3.0,4.0
UV-CDAT/uvcdat-site/,2024-11-04 21:56:15+00:00,19.0,7.0
UWARG/docs/,2024-01-06 20:36:16+00:00,8.0,1.0
uwescience/myria/,2024-10-30 20:06:22+00:00,17.0,113.0
uzh/gc3pie/,2024-05-16 17:28:23+00:00,17.0,44.0
Vaa3D/vaa3d_tools/,2024-07-03 14:26:51+00:00,30.0,108.0
ValentinMinder/CirculationMediator/,2024-05-02 14:47:54+00:00,3.0,1.0
vargax/ejemplos/,2024-09-15 20:03:03+00:00,2.0,2.0
varnish/zipnish/,2024-07-06 11:19:05+00:00,6.0,127.0
Vauxoo/odoo-venezuela/,2024-02-17 15:57:38+00:00,16.0,15.0
Vhaos/Kinect-BodyScanner/,2024-08-02 08:52:24+00:00,3.0,19.0
vibolyoeung/psarnetwork/,2024-08-30 07:28:13+00:00,6.0,3.0
vicrucann/dura-europos-insitu/,2024-11-12 13:12:59+00:00,2.0,42.0
vigilate/labeip/,2024-08-27 08:06:47+00:00,2.0,0.0
vilnius/vilnius-carpool/,2024-10-27 05:13:49+00:00,4.0,10.0
vitaut/vitaut.github.io/,2024-11-02 14:54:34+00:00,2.0,8.0
vlead/dataservice/,2024-01-16 06:27:15+00:00,7.0,1.0
vogellacompany/vogella/,2024-11-06 14:07:56+00:00,3.0,340.0
vulfgang/coursework-kitten/,2024-10-11 08:11:52+00:00,4.0,15.0
w3c/aria/,2024-11-15 04:59:46+00:00,30.0,653.0
w3c/data-shapes/,2024-08-02 14:17:54+00:00,20.0,89.0
w3c/push-api/,2024-09-17 06:21:24+00:00,25.0,146.0
wagnerjs/SIGAR/,2024-06-04 17:39:29+00:00,6.0,0.0
wakaleo/game-of-life/,2024-11-12 11:04:29+00:00,6.0,2037.0
wamp-proto/wamp-proto/,2024-11-11 15:06:10+00:00,30.0,475.0
WandererFan/FreeCAD-TechDraw/,2024-06-06 10:06:04+00:00,30.0,3.0
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3.0,39.0
wasadigi/Teaching-HEIGVD-RES/,2024-06-24 21:30:48+00:00,3.0,11.0
wazuh/wazuh-documentation/,2024-11-14 23:20:13+00:00,30.0,195.0
web-development/web-development.github.com/,2024-11-04 20:30:25+00:00,2.0,2.0
webfactory/content-mapping/,2024-09-04 13:53:31+00:00,4.0,4.0
webpack/react-starter/,2024-10-25 09:44:45+00:00,19.0,2207.0
websauna/websauna/,2024-03-28 13:39:18+00:00,27.0,264.0
Whissi/shorewall/,2023-12-10 05:57:01+00:00,12.0,4.0
WICG/paymentrequest/,2024-04-20 12:47:53+00:00,6.0,37.0
wimleers/sudoku/,2024-10-27 10:25:49+00:00,2.0,102.0
WinToosa/mobilelogger/,2024-09-11 09:49:13+00:00,3.0,0.0
WouterJ/wouterj.github.com/,2024-09-14 13:53:45+00:00,14.0,1.0
wro4j/wro4j-examples/,2024-10-30 12:00:38+00:00,3.0,9.0
wseltzer/torweb/,2024-05-21 19:58:14+00:00,30.0,3.0
wso2/charon/,2024-11-06 06:58:09+00:00,30.0,122.0
wwivbbs/wwiv/,2024-11-02 15:11:04+00:00,17.0,186.0
xen2/SharpLang/,2024-10-18 19:10:08+00:00,5.0,282.0
xenodium/xenodium.github.io/,2024-11-13 13:22:10+00:00,3.0,9.0
0416354917/COMP6442/,2024-06-08 05:46:58+00:00,1.0,2.0
3electrons/AnalogWidgets/,2024-03-11 02:32:07+00:00,0.0,1.0
ABI-Software/ICMA/,2024-03-28 19:14:12+00:00,1.0,11.0
adiknoth/ffado/,2024-04-08 23:51:48+00:00,0.0,1.0
adius/polyphone/,2024-04-21 10:29:26+00:00,0.0,10.0
adolfosbh/cs2as/,2024-05-06 03:21:04+00:00,1.0,1.0
AdrianApostolov/TelerikAcademy/,2023-11-22 14:26:23+00:00,1.0,4.0
afarber/alexander-farber/,2023-11-27 13:03:24+00:00,1.0,0.0
afronski/playground-notes/,2024-08-03 17:01:09+00:00,1.0,31.0
airingursb/EMPs/,2023-12-13 12:11:28+00:00,1.0,8.0
albertoblaz/Wikious/,2024-10-27 17:43:51+00:00,1.0,0.0
AlessandroSanino1994/NerdOrDungeons/,2024-02-28 02:41:46+00:00,1.0,3.0
AlexandreRozier/Library-Management-System/,2024-07-17 14:27:43+00:00,1.0,5.0
algaworks/curso-jpa-hibernate/,2024-04-09 20:44:03+00:00,1.0,70.0
algui91/grado_informatica_npi/,2024-04-11 22:34:05+00:00,1.0,7.0
