Original_Files,Duplicate_Files,Duplicate?
class_diagrams/shigeya/omnetpp//classcPar.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPar.png,TRUE
class_diagrams/shigeya/omnetpp//classcParImpl.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcParImpl.png,TRUE
class_diagrams/shigeya/omnetpp//classcParsimCommunications.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcParsimCommunications.png,TRUE
class_diagrams/shigeya/omnetpp//classcPathChangeNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPathChangeNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostDisplayStringChangeNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostDisplayStringChangeNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostGateAddNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostGateAddNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostGateConnectNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostGateConnectNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostGateDeleteNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostGateDeleteNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostGateDisconnectNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostGateDisconnectNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostGateVectorResizeNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostGateVectorResizeNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostModuleAddNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostModuleAddNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostModuleDeleteNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostModuleDeleteNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostModuleReparentNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostModuleReparentNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostParameterChangeNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostParameterChangeNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostPathCreateNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostPathCreateNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPostPathCutNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPostPathCutNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPreDisplayStringChangeNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPreDisplayStringChangeNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPreGateAddNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPreGateAddNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPreGateConnectNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPreGateConnectNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPreGateDeleteNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPreGateDeleteNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPreGateDisconnectNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPreGateDisconnectNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPreGateVectorResizeNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPreGateVectorResizeNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPreModuleAddNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPreModuleAddNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPreModuleDeleteNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPreModuleDeleteNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPreModuleReparentNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPreModuleReparentNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPreParameterChangeNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPreParameterChangeNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPrePathCreateNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPrePathCreateNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcPrePathCutNotification.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPrePathCutNotification.png,TRUE
class_diagrams/shigeya/omnetpp//classcProperties.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcProperties.png,TRUE
class_diagrams/shigeya/omnetpp//classcProperty.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcProperty.png,TRUE
class_diagrams/shigeya/omnetpp//classcPSquare.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcPSquare.png,TRUE
class_diagrams/shigeya/omnetpp//classcQueue.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcQueue.png,TRUE
class_diagrams/shigeya/omnetpp//classcRealTimeScheduler.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcRealTimeScheduler.png,TRUE
class_diagrams/shigeya/omnetpp//classcRegistrationList.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcRegistrationList.png,TRUE
class_diagrams/shigeya/omnetpp//classcResultFilter.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcResultFilter.png,TRUE
class_diagrams/shigeya/omnetpp//classcResultFilterDescriptor.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcResultFilterDescriptor.png,TRUE
class_diagrams/shigeya/omnetpp//classcResultListener.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcResultListener.png,TRUE
class_diagrams/shigeya/omnetpp//classcResultRecorder.png,class_diagrams/shigeya/omnetpp//ide-plugins-org.omnetpp.doc_4.3.0.130403-bf01aae-content-api-classcResultRecorder.png,TRUE
