Project,Last_Activity,Contributors,Stargazers,UML_Files_Length,Lines_of_Code,UML_LOC_ratio_scaled,UML_File
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/146.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/149.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/15.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/150.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/158.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/16.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/161.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/162.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/163.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/164.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/165.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/166.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/168.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/169.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/172.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/174.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/176.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/178.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/179.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/18.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/182.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/183.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/188.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/189.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/190.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/192.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/195.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/196.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/197.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/20.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/201.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/202.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/205.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/208.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/209.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/211.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/214.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/216.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/217.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/218.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/219.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/221.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/222.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/223.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/226.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/227.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/228.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/229.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/231.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/239.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/251.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/253.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/254.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/258.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/26.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/265.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/266.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/268.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/269.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/273.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/274.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/276.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/279.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/28.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/283.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/284.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/291.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/292.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/299.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/3.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/302.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/306.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/308.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/309.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/311.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/314.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/315.jpg
