Repo_Name,GitHub URL,Total number of UML files,No. of .uml,No. of .xmi,No. of .svg,No. of .png,No. of .jpeg,No. of .bmp,No. of .jpg,No. of .gif
dukebw/Qt_Design_Ch4/,http://github.com/dukebw/Qt_Design_Ch4/,1,0,1,0,0,0,0,0,0
dukekyoshi/SkripsiLaTex/,http://github.com/dukekyoshi/SkripsiLaTex/,3,1,0,0,2,0,0,0,0
dukekyoshi/SkripsiLaTeXv9/,http://github.com/dukekyoshi/SkripsiLaTeXv9/,2,0,0,0,2,0,0,0,0
dulin731/src/,http://github.com/dulin731/src/,1,1,0,0,0,0,0,0,0
dumazyc/ballin-octo-computing-machine/,http://github.com/dumazyc/ballin-octo-computing-machine/,1,0,0,0,1,0,0,0,0
dumontbass/aplicacaowebdistribuida-tcc/,http://github.com/dumontbass/aplicacaowebdistribuida-tcc/,1,1,0,0,0,0,0,0,0
dumontbass/grizzlyboilerplate/,http://github.com/dumontbass/grizzlyboilerplate/,2,1,0,0,1,0,0,0,0
dunlysis/GameOfLife/,http://github.com/dunlysis/GameOfLife/,1,0,0,0,0,0,0,0,1
Dunoyer/nuit-de-linfo/,http://github.com/Dunoyer/nuit-de-linfo/,1,1,0,0,0,0,0,0,0
duoani/my/,http://github.com/duoani/my/,1,1,0,0,0,0,0,0,0
duraj/kornelia/,http://github.com/duraj/kornelia/,4,0,0,0,4,0,0,0,0
duralf2/EDA260-Team06/,http://github.com/duralf2/EDA260-Team06/,7,0,0,0,0,0,0,7,0
duryno/smart_house/,http://github.com/duryno/smart_house/,1,1,0,0,0,0,0,0,0
DusanMadar/TPRT/,http://github.com/DusanMadar/TPRT/,1,0,0,0,1,0,0,0,0
duse-io/seminar-paper/,http://github.com/duse-io/seminar-paper/,2,0,0,0,2,0,0,0,0
DustinCSWagner/sliderule/,http://github.com/DustinCSWagner/sliderule/,1,0,0,0,1,0,0,0,0
dut-project-team/dut-projects/,http://github.com/dut-project-team/dut-projects/,4,0,0,0,0,0,0,4,0
DutchBeastman/MissleCommand-/,http://github.com/DutchBeastman/MissleCommand-/,1,0,0,0,1,0,0,0,0
DutchSoldier/FHSICT/,http://github.com/DutchSoldier/FHSICT/,9,2,0,0,0,0,0,7,0
duub/diagrames/,http://github.com/duub/diagrames/,1,0,0,0,1,0,0,0,0
duynguyena3win/Design_Prototype/,http://github.com/duynguyena3win/Design_Prototype/,1,0,0,0,1,0,0,0,0
duynii/RestfulDesigner/,http://github.com/duynii/RestfulDesigner/,2,0,0,0,2,0,0,0,0
duytrann/School/,http://github.com/duytrann/School/,1,0,0,0,1,0,0,0,0
dv222bk/1DV607_Portfolio/,http://github.com/dv222bk/1DV607_Portfolio/,2,0,0,0,2,0,0,0,0
dvdotsenko/Wak/,http://github.com/dvdotsenko/Wak/,1,0,1,0,0,0,0,0,0
DVDPT/O-Maestro/,http://github.com/DVDPT/O-Maestro/,1,0,0,0,0,0,0,1,0
Dventura02/Examen1-Douglas-Ventura/,http://github.com/Dventura02/Examen1-Douglas-Ventura/,1,0,0,0,1,0,0,0,0
Dventura02/testeandoconalex/,http://github.com/Dventura02/testeandoconalex/,1,0,0,0,1,0,0,0,0
dverstap/jsmiparser/,http://github.com/dverstap/jsmiparser/,1,0,1,0,0,0,0,0,0
dvicory/AngryTanks/,http://github.com/dvicory/AngryTanks/,14,14,0,0,0,0,0,0,0
dvillela/GIT/,http://github.com/dvillela/GIT/,1,1,0,0,0,0,0,0,0
dvmartin999/jaustoolset/,http://github.com/dvmartin999/jaustoolset/,4,4,0,0,0,0,0,0,0
dvuljak/PI_projekt/,http://github.com/dvuljak/PI_projekt/,1,0,0,0,0,0,0,1,0
dw006/gcbmaps/,http://github.com/dw006/gcbmaps/,1,0,0,0,1,0,0,0,0
dwagelaar/jar2uml/,http://github.com/dwagelaar/jar2uml/,11,11,0,0,0,0,0,0,0
dWarf-In-thE-FlaSk/CSC411/,http://github.com/dWarf-In-thE-FlaSk/CSC411/,1,0,0,0,0,0,0,1,0
DWC01/yui-sample-app/,http://github.com/DWC01/yui-sample-app/,1,0,0,0,1,0,0,0,0
dwdii/DataAcqMgmt/,http://github.com/dwdii/DataAcqMgmt/,1,0,0,0,1,0,0,0,0
DwiApriyanto/Tugas-Mandiri-DwiApriyanto-117050045/,http://github.com/DwiApriyanto/Tugas-Mandiri-DwiApriyanto-117050045/,4,2,0,0,0,0,0,2,0
dwicke/MALSIM/,http://github.com/dwicke/MALSIM/,2,0,0,0,1,0,0,1,0
dwicke/ycp-robot/,http://github.com/dwicke/ycp-robot/,1,0,0,0,0,0,0,1,0
DwightAndrews/INFO3440Project/,http://github.com/DwightAndrews/INFO3440Project/,1,0,0,0,0,0,0,1,0
dwilkolek/rapidminer-ignite-extension/,http://github.com/dwilkolek/rapidminer-ignite-extension/,3,0,0,0,3,0,0,0,0
dwinner/Development/,http://github.com/dwinner/Development/,1,0,0,0,1,0,0,0,0
dwitcpalek16/2016-Robot-Code/,http://github.com/dwitcpalek16/2016-Robot-Code/,1,1,0,0,0,0,0,0,0
dwk893/Project_Proposal/,http://github.com/dwk893/Project_Proposal/,1,0,0,0,1,0,0,0,0
Dworzaaa/BachelorsThesis/,http://github.com/Dworzaaa/BachelorsThesis/,1,0,0,0,1,0,0,0,0
dwthomas77/birdREST/,http://github.com/dwthomas77/birdREST/,1,0,0,0,1,0,0,0,0
dx14/SLogo/,http://github.com/dx14/SLogo/,1,0,0,0,1,0,0,0,0
dx14/VOOGASalad/,http://github.com/dx14/VOOGASalad/,1,0,0,0,1,0,0,0,0
dxd5581/ServiceShop_java/,http://github.com/dxd5581/ServiceShop_java/,3,2,1,0,0,0,0,0,0
dxd5581/Vocabulary_python-django/,http://github.com/dxd5581/Vocabulary_python-django/,1,1,0,0,0,0,0,0,0
DXI-Ltd/PjSIP/,http://github.com/DXI-Ltd/PjSIP/,1,0,0,0,1,0,0,0,0
dybisz/BiometricsLabs/,http://github.com/dybisz/BiometricsLabs/,3,0,0,0,2,0,0,1,0
dyermakovich/ip2014dzmitryyermakovich/,http://github.com/dyermakovich/ip2014dzmitryyermakovich/,1,0,0,0,0,0,0,1,0
dylan-ashley/Reflex/,http://github.com/dylan-ashley/Reflex/,1,0,0,0,0,1,0,0,0
dylan-smith/pokerleaguemanager/,http://github.com/dylan-smith/pokerleaguemanager/,1,1,0,0,0,0,0,0,0
dylanaj5/Production/,http://github.com/dylanaj5/Production/,1,0,0,0,1,0,0,0,0
DylanCassidy/As1-301-CounterApp/,http://github.com/DylanCassidy/As1-301-CounterApp/,1,0,0,0,1,0,0,0,0
dyland30/interfaz_covi/,http://github.com/dyland30/interfaz_covi/,2,2,0,0,0,0,0,0,0
DylanMeeus/CNOGame/,http://github.com/DylanMeeus/CNOGame/,1,0,0,0,0,0,0,1,0
DylanMeeus/DineWithMeCore/,http://github.com/DylanMeeus/DineWithMeCore/,2,0,0,0,0,0,0,2,0
Dylek/sdfdsadfgdssdf/,http://github.com/Dylek/sdfdsadfgdssdf/,11,2,0,0,3,0,0,6,0
dylon/umlang/,http://github.com/dylon/umlang/,3,3,0,0,0,0,0,0,0
dymayday/bearded-happiness/,http://github.com/dymayday/bearded-happiness/,1,0,0,0,1,0,0,0,0
dynacase/class-editor/,http://github.com/dynacase/class-editor/,1,0,0,0,1,0,0,0,0
Dynamic-Dependency-Injection/dynamic-cdi/,http://github.com/Dynamic-Dependency-Injection/dynamic-cdi/,2,2,0,0,0,0,0,0,0
DynamicPerception/Graffik_Legacy/,http://github.com/DynamicPerception/Graffik_Legacy/,4,0,0,0,4,0,0,0,0
DynamoDS/Dynamo/,http://github.com/DynamoDS/Dynamo/,1,1,0,0,0,0,0,0,0
dynastywind/iTouchable/,http://github.com/dynastywind/iTouchable/,1,1,0,0,0,0,0,0,0
dynaware/appster/,http://github.com/dynaware/appster/,1,0,0,0,1,0,0,0,0
dysbulic/tip/,http://github.com/dysbulic/tip/,2,0,0,0,0,0,0,2,0
dzerbino/cn-avg/,http://github.com/dzerbino/cn-avg/,68,0,0,0,0,0,0,0,68
dzerbino/pyAVG/,http://github.com/dzerbino/pyAVG/,9,0,0,0,0,0,0,0,9
dzhivtsov/GangsterBank/,http://github.com/dzhivtsov/GangsterBank/,15,15,0,0,0,0,0,0,0
dzhwinter/dzhwinter.me/,http://github.com/dzhwinter/dzhwinter.me/,1,0,0,0,1,0,0,0,0
dzitkowskik/mini-dos/,http://github.com/dzitkowskik/mini-dos/,2,0,0,0,2,0,0,0,0
dzmitry-chuchva/JMP-2014-Dzmitry-Chuchva-Group-2/,http://github.com/dzmitry-chuchva/JMP-2014-Dzmitry-Chuchva-Group-2/,1,0,0,0,0,0,0,1,0
dzo/frameworks_base/,http://github.com/dzo/frameworks_base/,2,0,0,0,0,0,0,0,2
dzuluaga/generator-oauth-auth-code-grant-sample/,http://github.com/dzuluaga/generator-oauth-auth-code-grant-sample/,1,0,0,0,1,0,0,0,0
dzxdzx1987/spring_source/,http://github.com/dzxdzx1987/spring_source/,1,0,0,0,0,0,0,0,1
e-dwar/coo-dungeon/,http://github.com/e-dwar/coo-dungeon/,1,0,0,0,0,0,0,1,0
e-lau/YouTranscribe/,http://github.com/e-lau/YouTranscribe/,2,0,0,0,2,0,0,0,0
e-lulu/Bioinformatics/,http://github.com/e-lulu/Bioinformatics/,1,1,0,0,0,0,0,0,0
e-lulu/courriers/,http://github.com/e-lulu/courriers/,1,0,0,0,0,0,0,1,0
e-peterson/BlueTeamTriviaMaze/,http://github.com/e-peterson/BlueTeamTriviaMaze/,1,0,0,0,0,0,0,1,0
e-sklepMuzyczny/IO/,http://github.com/e-sklepMuzyczny/IO/,7,0,0,0,7,0,0,0,0
e-sullivan9/Project3/,http://github.com/e-sullivan9/Project3/,2,0,0,0,0,0,0,2,0
e-vanne/SoftwareTesting/,http://github.com/e-vanne/SoftwareTesting/,1,0,0,0,0,0,0,1,0
e0725675/ModelEngineeringWS14/,http://github.com/e0725675/ModelEngineeringWS14/,4,0,0,0,0,0,0,4,0
E1drad/TalesOfTheNorthernLand/,http://github.com/E1drad/TalesOfTheNorthernLand/,4,0,0,0,4,0,0,0,0
ea6939/Bioinspired_algorithm/,http://github.com/ea6939/Bioinspired_algorithm/,1,0,0,0,1,0,0,0,0
eaceto/7539-Aplicaciones_Informaticas/,http://github.com/eaceto/7539-Aplicaciones_Informaticas/,1,0,0,0,1,0,0,0,0
eagleeyetom/platform_frameworks_base/,http://github.com/eagleeyetom/platform_frameworks_base/,2,0,0,0,0,0,0,0,2
eaglerockdude/eaglerockdude.github.io/,http://github.com/eaglerockdude/eaglerockdude.github.io/,1,0,0,0,1,0,0,0,0
Eagles2F/Pitch/,http://github.com/Eagles2F/Pitch/,1,0,0,0,1,0,0,0,0
Eagles2F/PitchV2/,http://github.com/Eagles2F/PitchV2/,1,0,0,0,1,0,0,0,0
eaglestorm/mybatisnet/,http://github.com/eaglestorm/mybatisnet/,2,0,0,0,0,0,0,0,2
eamon790/Practice/,http://github.com/eamon790/Practice/,1,0,0,0,1,0,0,0,0
eareyan/FIFASim/,http://github.com/eareyan/FIFASim/,1,0,0,0,1,0,0,0,0
EarlOfEgo/LocationReminder/,http://github.com/EarlOfEgo/LocationReminder/,2,0,0,0,2,0,0,0,0
earthiverse/Food/,http://github.com/earthiverse/Food/,2,0,0,0,2,0,0,0,0
Earthlandto/robode/,http://github.com/Earthlandto/robode/,2,0,0,0,2,0,0,0,0
eason78/bclassRep/,http://github.com/eason78/bclassRep/,1,0,0,0,1,0,0,0,0
east301/droid-spring/,http://github.com/east301/droid-spring/,1,0,0,0,0,0,0,0,1
Eastborn/Games-of-Life/,http://github.com/Eastborn/Games-of-Life/,1,0,0,0,0,0,0,0,1
eastcm/RobSim/,http://github.com/eastcm/RobSim/,3,3,0,0,0,0,0,0,0
EastdayDev/CharityPlatform/,http://github.com/EastdayDev/CharityPlatform/,1,1,0,0,0,0,0,0,0
easy-as-pie-labs/tweap/,http://github.com/easy-as-pie-labs/tweap/,4,4,0,0,0,0,0,0,0
easyCZ/SLIP-A-2015/,http://github.com/easyCZ/SLIP-A-2015/,2,0,0,0,0,0,0,2,0
EasyOrderNetcracker3/HomeWork/,http://github.com/EasyOrderNetcracker3/HomeWork/,2,0,0,0,0,0,0,2,0
easytime01/easytime01-0/,http://github.com/easytime01/easytime01-0/,3,0,0,0,0,0,0,3,0
eatcrayons1980/compsci765/,http://github.com/eatcrayons1980/compsci765/,1,0,0,0,1,0,0,0,0
eawag-rdm/eawag-ckan/,http://github.com/eawag-rdm/eawag-ckan/,1,0,0,0,1,0,0,0,0
Eawag-SWW/social-weather-gauge/,http://github.com/Eawag-SWW/social-weather-gauge/,2,0,0,0,2,0,0,0,0
eBay/Kubernetes/,http://github.com/eBay/Kubernetes/,2,0,0,1,1,0,0,0,0
EbbeVang/EASJ_ArchitecturalPattern/,http://github.com/EbbeVang/EASJ_ArchitecturalPattern/,1,1,0,0,0,0,0,0,0
ebeneventano/untref-aydoo-ebeneventano/,http://github.com/ebeneventano/untref-aydoo-ebeneventano/,1,0,0,0,0,0,0,1,0
ebetti/epy-dolibarr/,http://github.com/ebetti/epy-dolibarr/,1,1,0,0,0,0,0,0,0
ebhardjan/SAEProject1/,http://github.com/ebhardjan/SAEProject1/,1,0,0,0,1,0,0,0,0
EBI-IntAct/intact-google-import/,http://github.com/EBI-IntAct/intact-google-import/,6,0,0,0,6,0,0,0,0
Ebski/Project/,http://github.com/Ebski/Project/,1,0,0,0,1,0,0,0,0
ebuendia/ProyectoPython/,http://github.com/ebuendia/ProyectoPython/,1,0,0,0,0,0,0,1,0
ebukoz/thrive/,http://github.com/ebukoz/thrive/,2,0,0,1,1,0,0,0,0
ecardosos/Carro/,http://github.com/ecardosos/Carro/,1,0,0,0,1,0,0,0,0
ecastillo550/tajin-udem/,http://github.com/ecastillo550/tajin-udem/,6,2,0,0,0,0,0,4,0
ECCI-IS-2014/Senderos/,http://github.com/ECCI-IS-2014/Senderos/,1,0,0,0,0,0,0,1,0
ecclestonp/mudflake/,http://github.com/ecclestonp/mudflake/,2,1,0,0,0,0,0,1,0
ecelis/sauron-com-kit/,http://github.com/ecelis/sauron-com-kit/,1,0,0,0,1,0,0,0,0
ecelis/sck/,http://github.com/ecelis/sck/,1,0,0,0,1,0,0,0,0
ecell/ecell3/,http://github.com/ecell/ecell3/,1,1,0,0,0,0,0,0,0
ecell/spatiocyte/,http://github.com/ecell/spatiocyte/,1,1,0,0,0,0,0,0,0
ECF/Newsreader/,http://github.com/ECF/Newsreader/,1,1,0,0,0,0,0,0,0
Echchouik/JavaDrawing/,http://github.com/Echchouik/JavaDrawing/,1,0,0,0,1,0,0,0,0
EchelonTeam/sca3_main/,http://github.com/EchelonTeam/sca3_main/,2,0,2,0,0,0,0,0,0
echonest/remix/,http://github.com/echonest/remix/,54,0,0,0,0,0,0,0,54
echu10/wingman/,http://github.com/echu10/wingman/,1,0,0,0,1,0,0,0,0
eci-ufrj/time-card/,http://github.com/eci-ufrj/time-card/,1,0,0,0,1,0,0,0,0
ecikowaty/Praca-Magisterska/,http://github.com/ecikowaty/Praca-Magisterska/,7,7,0,0,0,0,0,0,0
ecilaz/ecila/,http://github.com/ecilaz/ecila/,1,1,0,0,0,0,0,0,0
eckucukoglu/cengball/,http://github.com/eckucukoglu/cengball/,2,1,0,0,0,0,0,1,0
Eclipse-DemoCamps/democamp-luna/,http://github.com/Eclipse-DemoCamps/democamp-luna/,1,0,0,0,1,0,0,0,0
eclipse/acceleo/,http://github.com/eclipse/acceleo/,9,9,0,0,0,0,0,0,0
eclipse/atl/,http://github.com/eclipse/atl/,32,32,0,0,0,0,0,0,0
eclipse/cdo/,http://github.com/eclipse/cdo/,13,13,0,0,0,0,0,0,0
eclipse/cdt/,http://github.com/eclipse/cdt/,2,0,0,0,0,2,0,0,0
eclipse/ecoretools/,http://github.com/eclipse/ecoretools/,1,0,0,0,1,0,0,0,0
eclipse/emf.compare/,http://github.com/eclipse/emf.compare/,6098,6097,0,0,1,0,0,0,0
eclipse/emf.refactor.refactoring/,http://github.com/eclipse/emf.refactor.refactoring/,1,1,0,0,0,0,0,0,0
eclipse/gmf-tooling.uml2tools/,http://github.com/eclipse/gmf-tooling.uml2tools/,166,166,0,0,0,0,0,0,0
eclipse/gmf-tooling/,http://github.com/eclipse/gmf-tooling/,2,0,0,0,0,0,0,0,2
eclipse/jetty/,http://github.com/eclipse/jetty/,120,0,0,0,120,0,0,0,0
eclipse/nebula/,http://github.com/eclipse/nebula/,1,0,0,0,1,0,0,0,0
eclipse/ocl/,http://github.com/eclipse/ocl/,107,94,10,0,3,0,0,0,0
eclipse/org.aspectj/,http://github.com/eclipse/org.aspectj/,1,0,0,0,0,0,0,0,1
eclipse/qvto/,http://github.com/eclipse/qvto/,6,6,0,0,0,0,0,0,0
eclipse/titan.core/,http://github.com/eclipse/titan.core/,2,0,0,0,2,0,0,0,0
Eclipse001/Counter/,http://github.com/Eclipse001/Counter/,1,0,0,0,1,0,0,0,0
eclipsei/TIMO/,http://github.com/eclipsei/TIMO/,1,0,1,0,0,0,0,0,0
Ecmchess/website/,http://github.com/Ecmchess/website/,1,0,0,0,1,0,0,0,0
ecnivo/Flow/,http://github.com/ecnivo/Flow/,1,1,0,0,0,0,0,0,0
ecodistrict/excelmodule/,http://github.com/ecodistrict/excelmodule/,1,0,0,0,1,0,0,0,0
ecodistrict/IDSSFramework/,http://github.com/ecodistrict/IDSSFramework/,2,0,0,0,2,0,0,0,0
ecolell/ecolell.github.io/,http://github.com/ecolell/ecolell.github.io/,7,0,1,6,0,0,0,0,0
economia/partnerska-mesta/,http://github.com/economia/partnerska-mesta/,1,0,0,0,1,0,0,0,0
eCostaRibeiro/futebol/,http://github.com/eCostaRibeiro/futebol/,1,1,0,0,0,0,0,0,0
eCostaRibeiro/trabalho/,http://github.com/eCostaRibeiro/trabalho/,1,1,0,0,0,0,0,0,0
eCostaRibeiro/TrabalhoBiblioteca/,http://github.com/eCostaRibeiro/TrabalhoBiblioteca/,1,1,0,0,0,0,0,0,0
ECruz25/Examen_19_02_2015_21351029/,http://github.com/ECruz25/Examen_19_02_2015_21351029/,1,0,0,0,1,0,0,0,0
ed-parry/insurance-quotations-app/,http://github.com/ed-parry/insurance-quotations-app/,1,0,0,0,0,0,0,1,0
ed222gg/1DV607/,http://github.com/ed222gg/1DV607/,24,23,0,0,1,0,0,0,0
ed3sign/GestioneClinicaMedica/,http://github.com/ed3sign/GestioneClinicaMedica/,1,0,0,0,1,0,0,0,0
EdAllonby/AMPS/,http://github.com/EdAllonby/AMPS/,17,17,0,0,0,0,0,0,0
edamiani/Anima-Engine/,http://github.com/edamiani/Anima-Engine/,1,0,0,0,1,0,0,0,0
edaplayground/eda-playground/,http://github.com/edaplayground/eda-playground/,1,0,0,0,0,0,0,0,1
edavlatian/seneca-Project-Management/,http://github.com/edavlatian/seneca-Project-Management/,1,0,0,0,0,0,0,1,0
edcarter/AndroidBuzzer/,http://github.com/edcarter/AndroidBuzzer/,1,0,0,0,0,1,0,0,0
edcu11/examen1progra3/,http://github.com/edcu11/examen1progra3/,1,0,0,0,1,0,0,0,0
edderick/third-year-project/,http://github.com/edderick/third-year-project/,3,3,0,0,0,0,0,0,0
eddking/Interaction-Nets-Visualizer/,http://github.com/eddking/Interaction-Nets-Visualizer/,7,0,0,0,7,0,0,0,0
eddo888/Amazonian/,http://github.com/eddo888/Amazonian/,1,0,1,0,0,0,0,0,0
eddo888/Blacksmith/,http://github.com/eddo888/Blacksmith/,3,0,3,0,0,0,0,0,0
eddo888/scripts/,http://github.com/eddo888/scripts/,5,0,5,0,0,0,0,0,0
eddo888/Tools/,http://github.com/eddo888/Tools/,2,0,2,0,0,0,0,0,0
eddOrnelas/Misoft0_5b/,http://github.com/eddOrnelas/Misoft0_5b/,1,0,0,0,0,0,0,1,0
eddy0306/WinLifSchM/,http://github.com/eddy0306/WinLifSchM/,1,0,0,0,0,1,0,0,0
Eddy0402/MSP430f5529_Linux_template/,http://github.com/Eddy0402/MSP430f5529_Linux_template/,2,0,0,0,2,0,0,0,0
edegraff/FundTracker/,http://github.com/edegraff/FundTracker/,17,17,0,0,0,0,0,0,0
edekruif/Groep-20-Bejeweled/,http://github.com/edekruif/Groep-20-Bejeweled/,1,0,0,0,1,0,0,0,0
edemairy/TC/,http://github.com/edemairy/TC/,178,0,0,0,7,0,0,0,171
Edeph/distributed-history-maps/,http://github.com/Edeph/distributed-history-maps/,1,0,0,0,1,0,0,0,0
edeposit/cz-urnnbn-api/,http://github.com/edeposit/cz-urnnbn-api/,4,4,0,0,0,0,0,0,0
edeposit/edeposit.amqp.aleph_link_export/,http://github.com/edeposit/edeposit.amqp.aleph_link_export/,2,2,0,0,0,0,0,0,0
edeposit/edeposit.amqp.aleph/,http://github.com/edeposit/edeposit.amqp.aleph/,1,1,0,0,0,0,0,0,0
edeposit/edeposit.amqp.antivirus/,http://github.com/edeposit/edeposit.amqp.antivirus/,4,4,0,0,0,0,0,0,0
edeposit/edeposit.amqp.ftp/,http://github.com/edeposit/edeposit.amqp.ftp/,10,10,0,0,0,0,0,0,0
edeposit/edeposit.amqp.harvester/,http://github.com/edeposit/edeposit.amqp.harvester/,1,1,0,0,0,0,0,0,0
edeposit/edeposit.amqp.ltp/,http://github.com/edeposit/edeposit.amqp.ltp/,2,2,0,0,0,0,0,0,0
edeposit/edeposit.amqp.storage/,http://github.com/edeposit/edeposit.amqp.storage/,2,2,0,0,0,0,0,0,0
edeposit/edeposit.amqp/,http://github.com/edeposit/edeposit.amqp/,2,2,0,0,0,0,0,0,0
edeposit/edeposit/,http://github.com/edeposit/edeposit/,1,0,0,0,1,0,0,0,0
edeposit/marcxml_parser/,http://github.com/edeposit/marcxml_parser/,4,4,0,0,0,0,0,0,0
edeposit/marcxml2mods/,http://github.com/edeposit/marcxml2mods/,2,2,0,0,0,0,0,0,0
ederfogo00/Projeto-final/,http://github.com/ederfogo00/Projeto-final/,5,0,0,0,5,0,0,0,0
edgaraxe/HKR/,http://github.com/edgaraxe/HKR/,1,1,0,0,0,0,0,0,0
edgardgt/compiler/,http://github.com/edgardgt/compiler/,2,0,0,0,2,0,0,0,0
edgarlepe/cs120/,http://github.com/edgarlepe/cs120/,1,0,0,0,1,0,0,0,0
EdgarM-/Proyecto-Objetos/,http://github.com/EdgarM-/Proyecto-Objetos/,1,0,0,0,1,0,0,0,0
EdgarMendoza/FamilyTree/,http://github.com/EdgarMendoza/FamilyTree/,1,1,0,0,0,0,0,0,0
edgarmesquita/fgv-technical-evaluation/,http://github.com/edgarmesquita/fgv-technical-evaluation/,9,8,0,0,0,0,0,1,0
edgd1er/M1S1_INFO/,http://github.com/edgd1er/M1S1_INFO/,1,1,0,0,0,0,0,0,0
edgd1er/M1S2_CAR/,http://github.com/edgd1er/M1S2_CAR/,5,0,0,0,5,0,0,0,0
Edifice/MyChamp/,http://github.com/Edifice/MyChamp/,1,0,0,0,1,0,0,0,0
EdilsonAndrade/AboutMe/,http://github.com/EdilsonAndrade/AboutMe/,1,1,0,0,0,0,0,0,0
edilsonjustiniano/tcc/,http://github.com/edilsonjustiniano/tcc/,29,0,0,0,29,0,0,0,0
edipof/gerenciador_lista_de_tarefas/,http://github.com/edipof/gerenciador_lista_de_tarefas/,2,0,0,0,2,0,0,0,0
edipof/jogo_de_baralho_burro/,http://github.com/edipof/jogo_de_baralho_burro/,2,0,0,0,2,0,0,0,0
edipofederle/AGM_1/,http://github.com/edipofederle/AGM_1/,3,3,0,0,0,0,0,0,0
edipofederle/architecture-representation/,http://github.com/edipofederle/architecture-representation/,186,186,0,0,0,0,0,0,0
edipofederle/opla-tests/,http://github.com/edipofederle/opla-tests/,3,3,0,0,0,0,0,0,0
edipofederle/OPLA-Tool/,http://github.com/edipofederle/OPLA-Tool/,20,20,0,0,0,0,0,0,0
edithau/support-scheduler/,http://github.com/edithau/support-scheduler/,1,0,0,0,1,0,0,0,0
edjacob25/stuff/,http://github.com/edjacob25/stuff/,1,0,0,0,0,1,0,0,0
edmarmoretti/i3geo/,http://github.com/edmarmoretti/i3geo/,1,1,0,0,0,0,0,0,0
EdMW212/gameOfLife/,http://github.com/EdMW212/gameOfLife/,1,0,0,0,0,0,0,0,1
EdMW212/NB_Gardens_Website/,http://github.com/EdMW212/NB_Gardens_Website/,1,0,0,0,1,0,0,0,0
edna-site/edna-rcp/,http://github.com/edna-site/edna-rcp/,2,2,0,0,0,0,0,0,0
edna-site/edna/,http://github.com/edna-site/edna/,28,14,14,0,0,0,0,0,0
edoardogiacomello/SE2-FontanaGiacomello/,http://github.com/edoardogiacomello/SE2-FontanaGiacomello/,69,0,0,0,69,0,0,0,0
edossantos/demo-app/,http://github.com/edossantos/demo-app/,5,0,0,0,5,0,0,0,0
edquist/autopyfactory/,http://github.com/edquist/autopyfactory/,2,0,0,0,2,0,0,0,0
edri/GENial/,http://github.com/edri/GENial/,1,0,0,0,1,0,0,0,0
edson-alvarez-orellana/DailyReportsWebApplication/,http://github.com/edson-alvarez-orellana/DailyReportsWebApplication/,16,16,0,0,0,0,0,0,0
edson-gonzales/DEVFUNDA/,http://github.com/edson-gonzales/DEVFUNDA/,1,0,0,0,1,0,0,0,0
edson-gonzales/PhractalGroupA/,http://github.com/edson-gonzales/PhractalGroupA/,1,0,0,0,0,0,0,1,0
edualm/AEDA-Translation-Company/,http://github.com/edualm/AEDA-Translation-Company/,1,0,0,0,1,0,0,0,0
eduanb/COS301_Phase2/,http://github.com/eduanb/COS301_Phase2/,3,0,0,0,2,0,0,1,0
eduardjr/Aion-Engine-Emulator/,http://github.com/eduardjr/Aion-Engine-Emulator/,1,0,0,0,0,0,0,0,1
eduardoacye/hackernation-0.3.0/,http://github.com/eduardoacye/hackernation-0.3.0/,2,0,0,0,1,0,0,1,0
EduardoBarrio/gameoflife_default/,http://github.com/EduardoBarrio/gameoflife_default/,1,0,0,0,0,0,0,0,1
EduardoHoff/SistemaAcademicoIFRS/,http://github.com/EduardoHoff/SistemaAcademicoIFRS/,2,0,0,0,0,0,0,2,0
eduardojonssen/CadeMeuTroco/,http://github.com/eduardojonssen/CadeMeuTroco/,1,1,0,0,0,0,0,0,0
eduardojonssen/ChangeCalculator/,http://github.com/eduardojonssen/ChangeCalculator/,1,1,0,0,0,0,0,0,0
eduardojonssen/ChangeMachine/,http://github.com/eduardojonssen/ChangeMachine/,1,1,0,0,0,0,0,0,0
eduardojonssen/CoinS2Machine/,http://github.com/eduardojonssen/CoinS2Machine/,3,3,0,0,0,0,0,0,0
eduardojonssen/MoneyExtractor/,http://github.com/eduardojonssen/MoneyExtractor/,1,1,0,0,0,0,0,0,0
eduardojonssen/PorquinhoDeOuro/,http://github.com/eduardojonssen/PorquinhoDeOuro/,1,1,0,0,0,0,0,0,0
eduardojonssen/Trocador/,http://github.com/eduardojonssen/Trocador/,1,1,0,0,0,0,0,0,0
eduardoklock/INE54177/,http://github.com/eduardoklock/INE54177/,2,0,0,0,0,0,0,2,0
eduardomartins/Caronas/,http://github.com/eduardomartins/Caronas/,1,0,1,0,0,0,0,0,0
eduardoneira/Macho-Drive/,http://github.com/eduardoneira/Macho-Drive/,2,0,0,0,2,0,0,0,0
eduardouio/gelvsrm/,http://github.com/eduardouio/gelvsrm/,1,0,0,0,1,0,0,0,0
eduardouio/ispade/,http://github.com/eduardouio/ispade/,3,2,1,0,0,0,0,0,0
eduardouio/sln_control/,http://github.com/eduardouio/sln_control/,1,1,0,0,0,0,0,0,0
EduardoVaca/KidsMatter/,http://github.com/EduardoVaca/KidsMatter/,1,0,0,0,1,0,0,0,0
EduardovEduard/Spike/,http://github.com/EduardovEduard/Spike/,1,1,0,0,0,0,0,0,0
