Project,Last_Activity,Contributors,Stargazers,Lines_of_Code,UML_LOC_ratio_scaled,Class_Diagram_Files,No_of_Class_Diagrams,Archived_Commit_SHA,Archived_Class_Diagram_Files,No_of_Archived_Class_Diagrams
borman/phoneme-qtopia/,2024-11-03 10:35:55+00:00,2,11,41792507,3.28E-05,"['jsr211/src/share/classes/javax/microedition/content/doc-files/chapi-hier.gif', 'jsr229/src/share/classes/javax/microedition/payment/doc-files/design.gif', 'midp/src/protocol/gcf/reference/classes/com/sun/midp/io/doc-files/ConnectionBaseAdapter.gif']",3,6b9dba7c03e83ed662d134899c46077a8cf6042c,['jsr229/src/share/classes/javax/microedition/payment/doc-files/design.gif'],1
brian-j-smith/Mamba.jl/,2024-11-08 05:34:15+00:00,12,255,156387,0.006894013,"['doc/images/variateUML.png', 'doc/images/mcmcUML.png']",2,2775158e2650450f8704e1b78643c44fabeb51ee,"['doc/images/mcmcUML.png', 'doc/images/variateUML.png']",2
bruceoutdoors/Intro-Design-Patterns-Cpp-Qt5/,2024-10-05 02:57:56+00:00,1,147,1484180,0.020351157,"['properties/metaobjects.png', 'modelview/mvcpattern.png', 'modelview/propertyselector/propertyselectorUML.png', 'modelview/sortfilterproxy.png', 'modelview/views.png', 'modelview/viewsandwidgets.png', 'multinheritance/PersonStudentTeacher.png', 'multinheritance/qgraphicsobject.png', 'multinheritance/screenregion.png', 'mystring/shareddata/sstring.png', 'pointer-container/library1.png', 'properties/antipattern.png', 'qobject/compositePattern.png', 'puzzle/puzzle-uml.png', 'qobject/qobject.png', 'qonsole/qonsole1/qonsole1-uml.png', 'sql/sqlmodels.png', 'statics/static.png', 'subobject/square.png', 'timer/speed-reader/speed-reader.png', 'xml/dom.png', 'xml/domwalker/domwalker.png', 'xml/sax1/xmlreader.png', 'xml/xmlbuilder.png', 'modelview/models.png', 'modelview/modelview-delegate.png', 'libs/dataobjects/address.png', 'login/login.png', 'functions/cryptoclass.png', 'cardgame/cardgame.png', 'classes/date-ex.png', 'classes/fraction-ex.png', 'libs/metadata/MetaDataLoader.png', 'composite/suffolkchart.png', 'containers/contact/ContactList.png', 'containers/contact/contact.png', 'containers/stack/template-stack.png', 'derivation/film/filmApp.png', 'derivation/shape1/shapes.png', 'derivation/shoppinglist/shoppinglist.png', 'derivation/student.png', 'designer/productform/productform-uml.png', 'containers/qmap/textbook.png', 'functions/usermanager.png', 'libs/dataobjects/andconstraint.png', 'libs/libs.png', 'libs/dataobjects/qobjectreader.png', 'libs/dataobjects/playgen.png', 'libs/dataobjects/dataobject.png', 'jobseeker/company-relationships.png', 'carclass/hondurota.png', 'jobseeker/company.png', 'jobseeker/person.png', 'jobseeker/to1.png', 'libs/customer/customerlistuml.png', 'libs/customer/customerfactory.png']",56,eee980c8be4ca9fad7aa924183e9fad9df382aa4,['modelview/propertyselector/propertyselectorUML.png'],1
bruceoutdoors/Intro-Design-Patterns-Cpp-Qt5/,2024-10-05 02:57:56+00:00,1,147,1484180,0.020351157,"['properties/metaobjects.png', 'modelview/mvcpattern.png', 'modelview/propertyselector/propertyselectorUML.png', 'modelview/sortfilterproxy.png', 'modelview/views.png', 'modelview/viewsandwidgets.png', 'multinheritance/PersonStudentTeacher.png', 'multinheritance/qgraphicsobject.png', 'multinheritance/screenregion.png', 'mystring/shareddata/sstring.png', 'pointer-container/library1.png', 'properties/antipattern.png', 'qobject/compositePattern.png', 'puzzle/puzzle-uml.png', 'qobject/qobject.png', 'qonsole/qonsole1/qonsole1-uml.png', 'sql/sqlmodels.png', 'statics/static.png', 'subobject/square.png', 'timer/speed-reader/speed-reader.png', 'xml/dom.png', 'xml/domwalker/domwalker.png', 'xml/sax1/xmlreader.png', 'xml/xmlbuilder.png', 'modelview/models.png', 'modelview/modelview-delegate.png', 'libs/dataobjects/address.png', 'login/login.png', 'functions/cryptoclass.png', 'cardgame/cardgame.png', 'classes/date-ex.png', 'classes/fraction-ex.png', 'libs/metadata/MetaDataLoader.png', 'composite/suffolkchart.png', 'containers/contact/ContactList.png', 'containers/contact/contact.png', 'containers/stack/template-stack.png', 'derivation/film/filmApp.png', 'derivation/shape1/shapes.png', 'derivation/shoppinglist/shoppinglist.png', 'derivation/student.png', 'designer/productform/productform-uml.png', 'containers/qmap/textbook.png', 'functions/usermanager.png', 'libs/dataobjects/andconstraint.png', 'libs/libs.png', 'libs/dataobjects/qobjectreader.png', 'libs/dataobjects/playgen.png', 'libs/dataobjects/dataobject.png', 'jobseeker/company-relationships.png', 'carclass/hondurota.png', 'jobseeker/company.png', 'jobseeker/person.png', 'jobseeker/to1.png', 'libs/customer/customerlistuml.png', 'libs/customer/customerfactory.png']",56,eee980c8be4ca9fad7aa924183e9fad9df382aa5,['puzzle/puzzle-uml.png'],1
cechrist/cardoon/,2023-12-12 07:22:06+00:00,1,13,598239,0.000895976,['doc/circuit_uml.png'],1,cf0ae03f5a957f41a2f063aa0aa09df008a7239f,['doc/circuit_uml.png'],1
cjferba/Poker/,2024-09-21 05:38:06+00:00,1,2,58418,0.009229747,['Diagramadeclase.png'],1,6c180b573048217e8c95ef50ec91fbdf060982ee,['Diagramadeclase.png'],1
cjw-network/cjw_newsletter/,2024-01-09 23:24:13+00:00,2,17,1419940,0.000374082,['doc/uml/class_diagram.svg'],1,de3a43ea027f546a3b3c1ea12fef86571ff4bae3,['doc/uml/class_diagram.svg'],1
scikit-beam/scikit-beam/,2024-07-23 05:05:39+00:00,27,93,761760,0.001410645,"['docs/source/img/arch/NSLS2Widget Object Diagram 5-23-14.jpg', 'docs/source/img/arch/NSLS2Widgets.png']",2,32c20acb15d613b5b5c894311694712507731eb0,['doc/img/arch/NSLS2Widget Object Diagram 5-23-14.jpg'],1
sculptor/sculptor.github.io/,2024-09-18 06:28:58+00:00,30,1,37929,0.085342055,"['images/documentation/event-driven-tutorial/umlgraph-eventsourcing.png', 'images/documentation/event-driven-tutorial/umlgraph-simple_eventsourcing.png', 'images/documentation/hello-world-tutorial/helloworld-design-classes.png', 'images/documentation/mongodb-tutorial/blog_umlgraph.png', 'images/documentation/advanced-tutorial/library-domain.png', 'images/2010-06-10-improving-developer-productivity-with-sculptor/umlgraph.png']",6,632071a44bc6f2c39046cbaaa8c04c0709617cc2,"['images/2010-03-20-improved-graphviz-visualization/umlgraph.dot.png', 'images/2010-04-27-mongodb-with-sculptor---introduction/blog_umlgraph.png', 'images/2010-06-10-improving-developer-productivity-with-sculptor/umlgraph.png', 'images/documentation/event-driven-tutorial/umlgraph-simple_eventsourcing.png', 'images/documentation/hello-world-tutorial/helloworld-design-classes.png']",5
sebastianrahtz/oxgarage/,2024-08-26 16:24:19+00:00,3,54,4507842,0.000113804,['src/site/resources/images/uml.gif'],1,6267b8bb4a2bc2d539e07eadcce777cea11ef247,"['ege-api/src/site/resources/images/uml.gif', 'ege-framework/src/site/resources/images/uml.gif', 'ege-validator/src/site/resources/images/uml.gif', 'ege-webclient/src/site/resources/images/uml.gif', 'ege-webservice/src/site/resources/images/uml.gif', 'ege-xsl-converter/src/site/resources/images/uml.gif', 'src/site/resources/images/uml.gif', 'tei-converter/src/site/resources/images/uml.gif']",8
sebnil/Sketchy-Truck/,2024-08-16 23:15:07+00:00,4,29,2312530,0.000227424,['andengine/uml/andengine_classdiagram.png'],1,3b3f42cd660ba2570446771b3f927a3beeaae52c,['andengine/uml/andengine_classdiagram.png'],1
shigeya/omnetpp/,2024-09-16 20:16:20+00:00,1,14,7283292,0.018217146,"['doc/api/classcWatch__uchar.png', 'doc/nedxml-api/classCompoundModuleElement.png', 'doc/nedxml-api/classConnectionsElement.png', 'doc/nedxml-api/classConnectionGroupElement.png', 'doc/nedxml-api/classConnectionElement.png', 'doc/nedxml-api/classConditionElement.png', 'doc/nedxml-api/classCommentElement.png', 'doc/api/classcWeightedStdDev.png', 'doc/nedxml-api/classClassElement.png', 'doc/nedxml-api/classClassDeclElement.png', 'doc/nedxml-api/classChannelInterfaceElement.png', 'doc/nedxml-api/classCplusplusElement.png', 'doc/api/classnoncopyable.png', 'doc/api/classcXMLParImpl.png', 'doc/api/classcXMLElement_1_1ParamResolver.png', 'doc/nedxml-api/classChannelElement.png', 'doc/nedxml-api/classFunctionElement.png', 'doc/nedxml-api/classEnumDeclElement.png', 'doc/nedxml-api/classEnumElement.png', 'doc/nedxml-api/classEnumFieldElement.png', 'doc/nedxml-api/classEnumFieldsElement.png', 'doc/nedxml-api/classExpressionElement.png', 'doc/nedxml-api/classExtendsElement.png', 'doc/nedxml-api/classFieldElement.png', 'doc/nedxml-api/classFilesElement.png', 'doc/api/classcWatch__char.png', 'doc/nedxml-api/classGateElement.png', 'doc/nedxml-api/classGatesElement.png', 'doc/nedxml-api/classIdentElement.png', 'doc/nedxml-api/classImportElement.png', 'doc/nedxml-api/classInterfaceNameElement.png', 'doc/nedxml-api/classLiteralElement.png', 'doc/api/classcWatch__stdstring.png', 'doc/api/classcSubModIterator.png', 'doc/api/classcWatch__cObjectPtr.png', 'doc/api/classcResultRecorderDescriptor.png', 'doc/api/classcSimulation.png', 'doc/api/classcSimpleModule.png', 'doc/api/classcSequentialScheduler.png', 'doc/api/classcScheduler.png', 'doc/api/classcRuntimeError.png', 'doc/api/classcRunnableEnvir.png', 'doc/api/classcResultRecorder.png', 'doc/api/classcWatch__cObject.png', 'doc/api/classcResultListener.png', 'doc/api/classcResultFilter.png', 'doc/api/classcRegistrationList.png', 'doc/api/classcRealTimeScheduler.png', 'doc/api/classcRNG.png', 'doc/api/classcQueue.png', 'doc/api/classcSnapshotManager.png', 'doc/api/classcStackCleanupException.png', 'doc/api/classcStatistic.png', 'doc/api/classcStdDev.png', 'doc/api/classcStringParImpl.png', 'doc/nedxml-api/classMessageDeclElement.png', 'doc/api/classcTDExpandingWindows.png', 'doc/api/classcTerminationException.png', 'doc/api/classcTimestampedValue.png', 'doc/api/classcTopology.png', 'doc/api/classcTopology_1_1Link.png', 'doc/api/classcTopology_1_1LinkIn.png', 'doc/api/classcTopology_1_1LinkOut.png', 'doc/api/classcTransientDetection.png', 'doc/api/classcVarHistogram.png', 'doc/api/classcWatchBase.png', 'doc/api/classcWatch__bool.png', 'doc/nedxml-api/classLoopElement.png', 'doc/nedxml-api/classOperatorElement.png', 'doc/nedxml-api/classMessageElement.png', 'doc/tictoc-tutorial/classTxc6.png', 'doc/parsim-api/classcParsimSynchronizer.png', 'doc/parsim-api/classcParsimProtocolBase.png', 'doc/tictoc-tutorial/classTxc2.png', 'doc/tictoc-tutorial/classTxc3.png', 'doc/tictoc-tutorial/classTxc4.png', 'doc/tictoc-tutorial/classTxc5.png', 'doc/tictoc-tutorial/classTxc7.png', 'doc/parsim-api/classcIdealSimulationProtocol.png', 'doc/parsim-api/classcParsimPartition.png', 'doc/parsim-api/classcNullMessageProtocol.png', 'doc/parsim-api/classcNoSynchronization.png', 'doc/parsim-api/classcNamedPipeCommunications.png', 'doc/parsim-api/classcNMPLookahead.png', 'doc/parsim-api/classcMemCommBuffer.png', 'doc/parsim-api/classcPlaceholderModule.png', 'doc/parsim-api/classcProxyGate.png', 'doc/parsim-api/classcReceivedException.png', 'doc/parsim-api/classcReceivedTerminationException.png', 'doc/tictoc-tutorial/classTic8.png', 'doc/tictoc-tutorial/classTic9.png', 'doc/tictoc-tutorial/classToc8.png', 'doc/tictoc-tutorial/classToc9.png', 'doc/tictoc-tutorial/classTxc1.png', 'doc/tictoc-tutorial/classTxc10.png', 'doc/tictoc-tutorial/classTxc11.png', 'doc/tictoc-tutorial/classTxc12.png', 'doc/tictoc-tutorial/classTxc13.png', 'doc/tictoc-tutorial/classTxc14.png', 'doc/tictoc-tutorial/classTxc15.png', 'doc/tictoc-tutorial/classTxc16.png', 'doc/api/classcProperties.png', 'doc/parsim-api/classcLinkDelayLookahead.png', 'doc/parsim-api/classcISPEventLogger.png', 'doc/nedxml-api/classModuleInterfaceElement.png', 'doc/nedxml-api/classNEDSAXHandler.png', 'doc/nedxml-api/classPacketDeclElement.png', 'doc/nedxml-api/classPackageElement.png', 'doc/nedxml-api/classNedFileElement.png', 'doc/nedxml-api/classNamespaceElement.png', 'doc/nedxml-api/classNEDValidatorBase.png', 'doc/nedxml-api/classNEDSyntaxValidator.png', 'doc/nedxml-api/classNEDResourceCache_1_1INEDTypeNames.png', 'doc/parsim-api/classcFileCommunications.png', 'doc/nedxml-api/classNEDResourceCache_1_1CachedTypeNames.png', 'doc/nedxml-api/classNEDElement.png', 'doc/nedxml-api/classNEDDTDValidatorBase.png', 'doc/nedxml-api/classNEDDTDValidator.png', 'doc/nedxml-api/classNEDCrossValidator.png', 'doc/nedxml-api/classMsgFileElement.png', 'doc/nedxml-api/classPacketElement.png', 'doc/nedxml-api/classParamElement.png', 'doc/nedxml-api/classParametersElement.png', 'doc/nedxml-api/classPropertyDeclElement.png', 'doc/nedxml-api/classPropertyElement.png', 'doc/nedxml-api/classPropertyKeyElement.png', 'doc/nedxml-api/classSAXHandler.png', 'doc/nedxml-api/classSimpleModuleElement.png', 'doc/nedxml-api/classStructDeclElement.png', 'doc/nedxml-api/classStructElement.png', 'doc/nedxml-api/classSubmoduleElement.png', 'doc/nedxml-api/classSubmodulesElement.png', 'doc/nedxml-api/classTypesElement.png', 'doc/nedxml-api/classUnknownElement.png', 'doc/parsim-api/classcAdvancedLinkDelayLookahead.png', 'doc/parsim-api/classcCommBufferBase.png', 'doc/parsim-api/classcFileCommBuffer.png', 'doc/api/classcProperty.png', 'doc/api/classcResultFilterDescriptor.png', 'doc/api/classcPrePathCutNotification.png', 'doc/api/classcGenericAssignableWatch.png', 'doc/api/classcDensityEstBase.png', 'doc/api/classcDoubleHistogram.png', 'doc/api/classcDoubleParImpl.png', 'doc/api/classcDynamicExpression.png', 'doc/api/classcDynamicExpression_1_1Functor.png', 'doc/api/classcEnum.png', 'doc/api/classcEnvir.png', 'doc/api/classcException.png', 'doc/api/classcExpression.png', 'doc/api/classcFSM.png', 'doc/api/classcGate.png', 'doc/api/classcGenericReadonlyWatch.png', 'doc/api/classcMatchableString.png', 'doc/api/classcHasher.png', 'doc/api/classcHistogram.png', 'doc/api/classcHistogramBase.png', 'doc/api/classcIListener.png', 'doc/api/classcITimestampedValue.png', 'doc/api/classcIdealChannel.png', 'doc/api/classcKSplit.png', 'doc/api/classcLCG32.png', 'doc/api/classcListener.png', 'doc/api/classcLongHistogram.png', 'doc/api/classcLongParImpl.png', 'doc/api/classcDeleteModuleException.png', 'doc/api/classcDelayChannel.png', 'doc/api/classcDefaultList.png', 'doc/api/classcDatarateChannel.png', 'doc/api/classcPrePathCreateNotification.png', 'doc/api/classModNameParamResolver.png', 'doc/api/classNEDSupport_1_1LoopVar.png', 'doc/api/classNEDSupport_1_1ParameterRef.png', 'doc/api/classNEDSupport_1_1SiblingModuleParameterRef.png', 'doc/api/classNEDSupport_1_1Sizeof.png', 'doc/api/classStringMapParamResolver.png', 'doc/api/classcADByStddev.png', 'doc/api/classcAccuracyDetection.png', 'doc/api/classcArray.png', 'doc/api/classcBoolParImpl.png', 'doc/api/classcChannel.png', 'doc/api/classcChannelType.png', 'doc/api/classcChannel_1_1MessageSentSignalValue.png', 'doc/api/classcClassDescriptor.png', 'doc/api/classcCommBuffer.png', 'doc/api/classcComponent.png', 'doc/api/classcComponentType.png', 'doc/api/classcCompoundModule.png', 'doc/api/classcConfigOption.png', 'doc/api/classcConfiguration.png', 'doc/api/classcConfigurationEx.png', 'doc/api/classcContextSwitcher.png', 'doc/api/classcMatchExpression_1_1Matchable.png', 'doc/api/classcLinkedList.png', 'doc/api/classcMersenneTwister.png', 'doc/api/classcPostParameterChangeNotification.png', 'doc/api/classcParsimCommunications.png', 'doc/api/classcPathChangeNotification.png', 'doc/api/classcPostDisplayStringChangeNotification.png', 'doc/api/classcMessage.png', 'doc/api/classcPostGateConnectNotification.png', 'doc/api/classcPostGateDeleteNotification.png', 'doc/api/classcPostGateDisconnectNotification.png', 'doc/api/classcPostGateVectorResizeNotification.png', 'doc/api/classcPostModuleAddNotification.png', 'doc/api/classcPostModuleDeleteNotification.png', 'doc/api/classcPostModuleReparentNotification.png', 'doc/api/classcPostPathCreateNotification.png', 'doc/api/classcPar.png', 'doc/api/classcPostPathCutNotification.png', 'doc/api/classcPreDisplayStringChangeNotification.png', 'doc/api/classcPreGateAddNotification.png', 'doc/api/classcPreGateConnectNotification.png', 'doc/api/classcPreGateDeleteNotification.png', 'doc/api/classcPreGateDisconnectNotification.png', 'doc/api/classcPreGateVectorResizeNotification.png', 'doc/api/classcPreModuleAddNotification.png', 'doc/api/classcPreModuleDeleteNotification.png', 'doc/api/classcPreModuleReparentNotification.png', 'doc/api/classcPreParameterChangeNotification.png', 'doc/api/classcParImpl.png', 'doc/api/classcPostGateAddNotification.png', 'doc/api/classcPacketQueue.png', 'doc/api/classcNoncopyableOwnedObject.png', 'doc/api/classcMessageHeap.png', 'doc/api/classcMethodCallContextSwitcher.png', 'doc/api/classcModelChangeNotification.png', 'doc/api/classcModule.png', 'doc/api/classcModuleType.png', 'doc/api/classcPacket.png', 'doc/api/classcMsgPar.png', 'doc/api/classcNEDFunction.png', 'doc/api/classcNEDMathFunction.png', 'doc/api/classcNamedObject.png', 'doc/api/classcModule_1_1SubmoduleIterator.png', 'doc/api/classcNullEnvir.png', 'doc/api/classcNumericResultRecorder.png', 'doc/api/classcObject.png', 'doc/api/classcObjectFactory.png', 'doc/api/classcObjectResultFilter.png', 'doc/api/classcOutVector.png', 'doc/api/classcPSquare.png', 'doc/api/classcOutputScalarManager.png', 'doc/api/classcOutputVectorManager.png', 'doc/api/classcOwnedObject.png', 'doc/api/classcNumericResultFilter.png']",246,d6c472b7f8935a99550809afa1d75b44999d6924,['ide/plugins/org.omnetpp.doc_4.3.0.130403-bf01aae/content/userguide/pictures/NEDDOC-UsageDiagram.png'],1
sones/sones/,2024-11-12 20:04:40+00:00,5,213,8246454,0.000190394,"['Documentation/media/documentation/database/edges/classdiagram.png', 'Documentation/media/documentation/plugins/database/geometries.png', 'Documentation/media/documentation/database/edges/typeinterfaces.png']",3,773b7a7dbbad6032e18a28e011111a1fc2d37447,"['Documentation/media/documentation/database/edges/classdiagram_edges.png', 'Documentation/media/documentation/database/edges/classdiagram_edges_.png', 'Documentation/media/documentation/database/edges/classdiagram_edges_trans.png']",3
spring-projects/spring-net/,2024-11-06 04:08:08+00:00,30,851,14838981,0.000103194,"['doc/reference/src/images/Migration_App_UML_Diagram.png', 'doc/reference/src/images/aop-uml.gif', 'doc/reference/src/images/movie-finder.gif']",3,8aeb95320a96bb2759a5d756632f23ebb775abc8,"['doc/reference/src/images/Migration_App_UML_Diagram.png', 'doc/reference/src/images/aop-uml.gif']",2
sprossiter/JSIT/,2024-08-26 23:12:56+00:00,1,2,485502,0.004439224,"['src/main/resources/docs/diagrams/eventsArchitectureMarker.png', 'src/main/resources/docs/diagrams/eventsArchitectureMessageBased.png', 'src/main/resources/docs/diagrams/jsitUsageClassSimple.png', 'src/main/resources/docs/diagrams/jsitUsageClassSimpleAnyLogic.png']",4,c9f62cfda50454e6123446e8933d67c23808d00f,['src/main/resources/docs/diagrams/eventsArchitecture.png'],1
sriram-mahavadi/extlp/,2024-04-26 05:27:19+00:00,3,2,2074573,0.000254184,['doc/images/btree_uml.png'],1,164176acd5eb0cb233994657dbee921442377ac8,"['doc/images/btree_uml.png', 'doc/images/btree_uml_small.png']",2
statismo/statismo/,2024-11-02 12:32:09+00:00,12,268,1050303,0.001535179,"['doc/IJ/pictures/class_diagram.png', 'doc/IJ/pictures/class_diagram.svg', 'doc/classdoc/class_diagram.png']",3,7ffc10d66e9d8586532b41c34e307da13c21e014,"['doc/IJ/pictures/class_diagram.png', 'doc/IJ/pictures/class_diagram.svg', 'doc/classdoc/class_diagram.png']",3
stefan-ka/stefan-ka.github.io/,2024-06-19 08:23:45+00:00,16,0,49119,0.021962276,"['media/122018-Strategic_DDD_Domain_Model.png', 'media/062015-parallel-programming-summary1-lock-and-condition.png']",2,27961e01eaf270f0b5f7c160d64023aed4b73a69,['media/012016-autopilot-object_diagram.png'],1
streambuf/recognition_numbers/,2024-04-16 11:26:55+00:00,1,12,66527,0.008104013,['screenshots/UML3.png'],1,00c90e24dcc8809c3cdb3a5b6943a2ee71cb8b3a,['screenshots/UML3.png'],1
stritti/log4js/,2024-10-25 17:21:56+00:00,8,449,420200,0.001278094,['log4js-site/xdocs/resources/images/Log4JS-UML.jpg'],1,7e876c43d7a077f6bbb341ed4f6a8af76584e415,['log4js-site/xdocs/resources/images/Log4JS-UML.jpg'],1
sunnypatel/Classwork/,2024-08-22 22:38:19+00:00,2,21,1531584,0.000698652,"['Junior Yr/Spring_2012/cs350-SoftwareDesign/survey/UML.png', 'Junior Yr/Spring_2012/cs350-SoftwareDesign/survey/UML_HW2.png']",2,851c4de71177274140086c6659e6a26b9a5353bf,['Junior Yr/Spring_2012/cs350-SoftwareDesign/survey/UML_HW2.png'],1
symfony/symfony1-docs/,2024-11-03 23:17:58+00:00,30,103,5181,0.312401172,"['gentle-introduction/en/images/F1401.png', 'gentle-introduction/en/images/F1608.png', 'jobeet/images/03/diagram.png']",3,d26edd9aa93dcf63d29e447abdbdda4138aaad0c,['jobeet/images/03/diagram.png'],1
tanure/ExemploMVP/,2024-01-16 12:38:06+00:00,1,2,539014,0.000995069,['src/ExemploMVP.Web/Images/DiagramaClasse.png'],1,8c16bef479917c3b2773443975322035b646e77e,['src/ExemploMVP.Web/Images/DiagramaClasse.png'],1
tazzledazzle/UW-CSS/,2024-03-02 12:42:33+00:00,1,4,1328698,0.000400175,['343/lab4/lab4classUML.jpg'],1,5afa5a6769c905952668b9b2647abf48a7faac7c,['343/lab4/lab4classUML.jpg'],1
thethythy/Mnemopwd/,2024-06-13 13:39:13+00:00,1,0,580678,0.001852383,"['design/class_diagram_server_side.png', 'design/class_diagram_client_side.png']",2,dbe2e7777320fcf80572e03bcb906aad608649d5,['design/class_diagram.png'],1
tlin-fei/ds4p/,2024-01-13 23:52:04+00:00,0,1,6462777,0.000161082,"['DS4P/consent-gen/Consent - Gen Class Diagram.png', 'DS4P/acs-showcase/ACS Showcase Class Diagram.png']",2,a12559e46e35c483686264cec2669651537fa23b,"['DS4P/acs-showcase/ACS Showcase Class Diagram.png', 'DS4P/consent-gen/Consent - Gen Class Diagram.png']",2
tmtxt/tmtxt.github.com/,2024-10-25 00:24:06+00:00,22,9,584204,0.000917643,['files/2013-03-30-microcontroller-emulation-in-cpp/class_diagram.png'],1,b65dc707969a1b79bfa60a5f243c4825aafda5cc,['files/2013-03-30-microcontroller-emulation-in-cpp/class_diagram.png'],1
tourdedave/elemental-selenium-tips/,2024-05-18 08:18:30+00:00,8,285,332847,0.001615064,['vendor/apache-jmeter-2.11/docs/images/screenshots/class_diagram.gif'],1,fc020aef9ae2937bc946cb008dfc19dc3c8e3ab8,['vendor/apache-jmeter-2.11/docs/images/screenshots/class_diagram.gif'],1
toutpt/collective.trainingmanual/,2024-03-29 16:08:48+00:00,4,0,52203,0.072340322,"['developpeur/source/archgenxml/argouml_ajout_methode.jpg', 'developpeur/source/python/ConceptionUMLDeLaClasseCercle.jpg', 'developpeur/source/uml/uml_repr_associations.jpg', 'developpeur/source/uml/uml_repr_diagramme_classes.jpg', 'developpeur/source/uml/uml_repr_realisations.jpg', 'docs/developpeur/_images/ConceptionUMLDeLaClasseCercle.jpg', 'docs/developpeur/_images/argouml_ajout_methode.jpg', 'docs/developpeur/_images/uml_repr_associations.jpg', 'docs/developpeur/_images/uml_repr_diagramme_classes.jpg', 'docs/developpeur/_images/uml_repr_realisations.jpg']",10,05c79bb105f04769f3f37a60bdded60fe5f492b3,"['developpeur/source/archgenxml/argouml_ajout_methode.jpg', 'developpeur/source/python/ConceptionUMLDeLaClasseCercle.jpg', 'developpeur/source/uml/uml_repr_associations.jpg', 'developpeur/source/uml/uml_repr_diagramme_classes.jpg', 'developpeur/source/uml/uml_repr_realisations.jpg', 'docs/developpeur/_images/ConceptionUMLDeLaClasseCercle.jpg', 'docs/developpeur/_images/argouml_ajout_methode.jpg', 'docs/developpeur/_images/uml_repr_associations.jpg', 'docs/developpeur/_images/uml_repr_diagramme_classes.jpg', 'docs/developpeur/_images/uml_repr_realisations.jpg']",10
tupilabs/tap4j/,2024-05-14 06:59:04+00:00,7,31,327795,0.001640046,['src/documents/uml/ClassDiagram1.jpg'],1,8ed497410c68a3d7723d7166fbdc77fdaad9ff91,['tap4j/src/documents/uml/ClassDiagram1.jpg'],1
ua-eas/ua-rice-2.1.9/,2024-03-14 23:47:33+00:00,0,0,29501299,0.000158712,"['src/site/docbook/db_diagrams/rice-krms.png', 'src/site/docbook/db_diagrams/rice-krns.png', 'src/site/docbook/db_diagrams/rice-krsb.png', 'src/site/docbook/images/krms ruleModel-20.png', 'src/site/docbook/db_diagrams/rice-krew.png', 'src/site/docbook/db_diagrams/rice-kren.png', 'src/site/docbook/db_diagrams/rice-krcr.png', 'src/site/docbook/db_diagrams/rice-krim.png', 'src/site/docbook/db_diagrams/rice-krlc.png']",9,492509b1bd57fd667d40e686d25d880ebbe5fa82,['src/site/docbook/images/KRMS_Execution_Log_Class_Diagram.png'],1
unknown-horizons/unknown-horizons/,2024-11-12 20:23:59+00:00,30,1426,3032021,0.00070589,"['development/road-directions.png', 'development/uml/production_classes.png', 'development/uml/components_implemented.png', 'development/uml/components_design.png']",4,840bd1a6a2795a96435181b1954c8820f8e9590b,['development/uml/components_design.png'],1
utn-frm-si/reservas/,2024-08-28 12:29:03+00:00,2,2,231710,0.002322576,['docs/uml/diagrama_clases.png'],1,fee8bd5c9b6c53d3c430eb40f0e626355381c33e,['docs/uml/diagrama_clases.png'],1
venam/blog/,2024-09-09 06:35:06+00:00,1,2,183692,0.002931246,['assets/umlet.jpg'],1,b6eb09f99dbbc48c0a9b01cb639881474b92a2d0,['assets/umlet.jpg'],1
vlead/dataservice/,2024-01-16 06:27:15+00:00,7,1,58263,0.009254317,['src/diagrams/model-diagram.jpg'],1,db8f0c9a97bbad979fb6083d86e3a31f0d738e5b,['src/diagrams/model-diagram.jpg'],1
vulfgang/coursework-kitten/,2024-10-11 08:11:52+00:00,4,15,859487,0.0056437,"['CIS64B/assignment-6/assignment-6-schema.png', 'CIS35B/Documentation/lab1_uml-class-diagramOLD.JPG', 'CIS29/Final-Lab/Documentation/uml-class-diagram.jpg', 'CIS35B/Assignment-1/lab-1_uml-class-diagram.jpg', 'CIS35B/Documentation/lab1_uml-class-diagramOLD1.jpg', 'CIS35B/Assignment-3/lab-3_uml-class-diagram.jpg', 'CIS35B/Assignment-4/lab-4_uml-class-diagram.jpg', 'CIS35B/Assignment-2/lab-2_uml-class-diagram.jpg', 'CIS35B/Assignment-5/lab-5_uml-class-diagram.jpg']",9,699d1d72fc7a09b5ff5cf819c8da58f98848ca88,"['CIS29/Final-Lab/Documentation/uml-class-diagram.jpg', 'CIS35B/Assignment-1/lab-1_uml-class-diagram.jpg', 'CIS35B/Assignment-2/lab-2_uml-class-diagram.jpg', 'CIS35B/Assignment-3/lab-3_uml-class-diagram.jpg', 'CIS35B/Assignment-4/lab-4_uml-class-diagram.jpg', 'CIS35B/Assignment-5/lab-5_uml-class-diagram.jpg', 'CIS35B/Documentation/lab-1_uml-class-diagram.jpg', 'CIS35B/Documentation/lab-2_uml-class-diagram.jpg', 'CIS35B/Documentation/lab-3_uml-class-diagram.jpg', 'CIS35B/Documentation/lab-4_uml-class-diagram.jpg', 'CIS35B/Documentation/lab-5_uml-class-diagram.jpg', 'CIS35B/Documentation/lab1_uml-class-diagramOLD1.jpg']",12
