Project,Last_Activity,Contributors,Stargazers,UML_Files,UML_Files_Length,Lines_of_Code,UML_LOC_ratio_scaled
Stefku/intellij-reference-diagram/,2024-11-14 12:13:33+00:00,3.0,108.0,"['doc/ExampleDiagram_ch.docksnet.app.MainClass.png', 'test/Example_InnerClasses.png']",2,164257.0,0.0017262406806193415
AbelianGroupInc/LmInterpreter/,2024-03-28 23:08:29+00:00,2.0,1.0,['UmlDiagram/UmCompiler_UML/UmCompiler_UML/ModelDefinition/UmCompiler_UML.uml'],1,86337.0,0.0016419108428418125
chmduquesne/blog/,2024-08-24 22:54:14+00:00,1.0,2.0,"['blog.chmd.fr/images/screenshot_recursif.png', 'blog.chmd.fr/images/screenshot_recursif.thumbnail.png', 'blog.chmd.fr/images/uml_dia.png', 'source/images/screenshot_recursif.png', 'source/images/uml_dia.png', 'source/images/weee.gif']",6,622598.0,0.001365489145600039
SeNDA-UAB/aDTNPlus/,2024-09-11 13:30:39+00:00,3.0,4.0,"['Docs/Figures/ActiveForwarding/bundleCD.uml', 'Docs/Figures/ActiveForwarding/processBundleAD.uml', 'Docs/Figures/ActiveForwarding/processBundleCD.uml', 'Docs/Figures/CD.uml', 'Docs/Figures/Frameworks/bundleCD.uml', 'Docs/Figures/RoutingReporting/bundleAgentCD.uml', 'Docs/Figures/RoutingReporting/bundleCD.uml', 'Docs/Figures/RoutingReporting/processBundleCD.uml', 'Docs/Figures/RoutingSelection/bundleCD.uml', 'Docs/Figures/RoutingSelection/processBundleAD.uml', 'Docs/Figures/RoutingSelection/processBundleCD.uml', 'Docs/Figures/bundleAgentAD.uml', 'Docs/Figures/bundleAgentCD.uml', 'Docs/Figures/bundleCD.uml', 'Docs/Figures/listenAppsCD.uml', 'Docs/Figures/listenAppsUpgradeCD.uml', 'Docs/Figures/neighbourDiscoveryCD.uml', 'Docs/Figures/processBundleAD.uml', 'Docs/Figures/processBundlesAD.uml', 'Docs/Figures/receiveBundlesAD.uml']",20,2319990.0,0.0012210878523546092
universAAL/ontology/,2024-09-06 05:54:56+00:00,9.0,13.0,"['ont.X73/x73.uml', 'ont.cryptographic/Cryptographic Ontology.uml', 'ont.cryptographic/src/main/javadoc/Cryptographic Services Ontology.png', 'ont.cryptographic/src/main/javadoc/Cryptographic Techniques Ontology.png', 'ont.dependability/Dependability.uml', 'ont.device/Device.uml', 'ont.handgestures/HandGestures.uml', 'ont.handgestures/src/main/handGesturesOnt.PNG', 'ont.health.disease/Disease.uml', 'ont.health.measurement/HealthMeasurement.uml', 'ont.languages/LanguageOntology.uml', 'ont.lddi.config.datapoints/OntClassDiagram.jpg', 'ont.lighting/documentation/ont.lighting class diagram 20.4.2011.png', 'ont.measurement/Measurement.jpg', 'ont.measurement/Measurement.uml', 'ont.orchestration/Asor.uml', 'ont.phWorld/documentation/ont.phWorld.location class diagram 20.4.2011.png', 'ont.phWorld/documentation/ont.phWorld.phThing class diagram 20.4.2011.png', 'ont.phWorld/documentation/ont.phWorld.shape class diagram 20.4.2011.png', 'ont.profile.contact/profile.contact.uml', 'ont.profile.health/HealthOntology.uml', 'ont.profile.ui.preferences/InteractionPreferences.uml', 'ont.recommendations/Recommendations.uml', 'ont.sysinfo/ont.sysinfo.uml', 'ont.unit/Unit.uml']",25,3349200.0,0.0010568022853308105
APmoss/CribbageMobile/,2024-06-11 22:54:37+00:00,0.0,1.0,"['ultimatecrib/CSharp/Cards/Cards.uml', 'ultimatecrib/CSharp/CribbageBoard/BOARD.BMP', 'ultimatecrib/CSharp/CribbageBoard/CribBoard1.bmp', 'ultimatecrib/CSharp/CribbageBoard/CribBoard2.jpg', 'ultimatecrib/CSharp/CribbageBoard/CribbageBoard.bmp', 'ultimatecrib/CSharp/CribbageBoard/CribbageBoard.uml', 'ultimatecrib/CSharp/Player/Player.uml']",7,1017344.0,0.0009738526811219478
the-virtual-brain/tvb-pin-paper/,2024-07-16 03:37:54+00:00,4.0,2.0,"['images/arch.png', 'images/architecture.jpg', 'images/ui_project_graph.png', 'images/ui_project_operations.png', 'images/ui_projects.png', 'images/ui_stimulus.png']",6,1010312.0,0.0008400235584581773
benlau/quickflux/,2024-11-07 05:15:19+00:00,7.0,329.0,['docs/concept/architecture.png'],1,169359.0,0.0008351724326374505
cechrist/cardoon/,2023-12-12 07:22:06+00:00,1.0,13.0,"['doc/cardoon3.png', 'doc/circuit_uml.png', 'doc/examples/memd_i.png']",3,598239.0,0.0007087321923606089
wp-plugins/richtexteditor/,2024-03-01 14:57:10+00:00,0.0,0.0,"['richtexteditor/images/arj.gif', 'richtexteditor/images/external.gif', 'richtexteditor/images/under.png', 'richtexteditor/images/unknown.gif']",4,927697.0,0.0006088521269956109
