repo,stargazers_count,GitHub URL,Total number of UML files,No. of .uml,No. of .xmi,No. of .svg,No. of .png,No. of .jpeg,No. of .bmp,No. of .jpg,No. of .gif,Model Link - Github
eProsima/Fast-RTPS,1528.0,http://github.com/eProsima/Fast-RTPS/,2,0,0,0,2,0,0,0,0,https://www.github.com/eProsima/Fast-RTPS/tree/master/utils/doxygen/pages/general_architecture_old.png
pjsip/pjproject,1474.0,http://github.com/pjsip/pjproject/,1,0,0,0,1,0,0,0,0,https://www.github.com/pjsip/pjproject/tree/master/pjnath/docs/UML-class-diagram.png
dtmilano/AndroidViewClient,1404.0,http://github.com/dtmilano/AndroidViewClient/,7,0,0,0,0,0,0,0,7,https://www.github.com/dtmilano/AndroidViewClient/tree/master/doc/uml_class_diagram_for_com_dtmi.gif
dtmilano/AndroidViewClient,1404.0,http://github.com/dtmilano/AndroidViewClient/,7,0,0,0,0,0,0,0,7,https://www.github.com/dtmilano/AndroidViewClient/tree/master/doc/uml_class_diagram_for_com_dtmi_2.gif
dtmilano/AndroidViewClient,1404.0,http://github.com/dtmilano/AndroidViewClient/,7,0,0,0,0,0,0,0,7,https://www.github.com/dtmilano/AndroidViewClient/tree/master/doc/uml_class_diagram_for_com_dtmi_3.gif
dtmilano/AndroidViewClient,1404.0,http://github.com/dtmilano/AndroidViewClient/,7,0,0,0,0,0,0,0,7,https://www.github.com/dtmilano/AndroidViewClient/tree/master/doc/uml_class_diagram_for_com_dtmi_4.gif
dtmilano/AndroidViewClient,1404.0,http://github.com/dtmilano/AndroidViewClient/,7,0,0,0,0,0,0,0,7,https://www.github.com/dtmilano/AndroidViewClient/tree/master/doc/uml_class_diagram_for_src_com_.gif
dtmilano/AndroidViewClient,1404.0,http://github.com/dtmilano/AndroidViewClient/,7,0,0,0,0,0,0,0,7,https://www.github.com/dtmilano/AndroidViewClient/tree/master/doc/uml_class_diagram_for_src_com__2.gif
dtmilano/AndroidViewClient,1404.0,http://github.com/dtmilano/AndroidViewClient/,7,0,0,0,0,0,0,0,7,https://www.github.com/dtmilano/AndroidViewClient/tree/master/doc/uml_class_diagram_for_src_com__3.gif
DynamoDS/Dynamo,1376.0,http://github.com/DynamoDS/Dynamo/,1,1,0,0,0,0,0,0,0,https://www.github.com/DynamoDS/Dynamo/tree/master/src/Resources/ProtoGeometry/LargeIcons/Autodesk.DesignScript.Geometry.Su0810.uml
unknown-horizons/unknown-horizons,1352.0,http://github.com/unknown-horizons/unknown-horizons/,1,0,0,0,1,0,0,0,0,https://www.github.com/unknown-horizons/unknown-horizons/tree/master/development/uml/components_design.png
David-Desmaisons/MVVM.CEF.Glue,1325.0,http://github.com/David-Desmaisons/MVVM.CEF.Glue/,1,1,0,0,0,0,0,0,0,https://www.github.com/David-Desmaisons/MVVM.CEF.Glue/tree/master/Documentation/ModelDefinition/ModelingProject1.uml
synrc/n2o,1318.0,http://github.com/synrc/n2o/,1,1,0,0,0,0,0,0,0,https://www.github.com/synrc/n2o/tree/master/doc/images/page-lifetime.uml
henryyan/activiti-in-action-codes,1171.0,http://github.com/henryyan/activiti-in-action-codes/,1,1,0,0,0,0,0,0,0,https://www.github.com/henryyan/activiti-in-action-codes/tree/master/umls/query.uml
rsms/gotalk,1166.0,http://github.com/rsms/gotalk/,1,0,0,0,1,0,0,0,0,https://www.github.com/rsms/gotalk/tree/master/doc/gotalk-pipeline-diagram.png
cpvrlab/ImagePlay,1144.0,http://github.com/cpvrlab/ImagePlay/,1,1,0,0,0,0,0,0,0,https://www.github.com/cpvrlab/ImagePlay/tree/master/ImagePlay/doc/UML.uml
objectcomputing/OpenDDS,1105.0,http://github.com/objectcomputing/OpenDDS/,9,2,3,0,4,0,0,0,0,https://www.github.com/objectcomputing/OpenDDS/tree/master/tools/modeling/plugins/org.opendds.modeling.help/html/modeling/images/diagram_compartments_cluttered.png
objectcomputing/OpenDDS,1105.0,http://github.com/objectcomputing/OpenDDS/,9,2,3,0,4,0,0,0,0,https://www.github.com/objectcomputing/OpenDDS/tree/master/tools/modeling/plugins/org.opendds.modeling.help/html/modeling/images/diagram_compartments_uncluttered.png
objectcomputing/OpenDDS,1105.0,http://github.com/objectcomputing/OpenDDS/,9,2,3,0,4,0,0,0,0,https://www.github.com/objectcomputing/OpenDDS/tree/master/tools/modeling/plugins/org.opendds.modeling.help/html/modeling/images/main_diagram_packages.png
objectcomputing/OpenDDS,1105.0,http://github.com/objectcomputing/OpenDDS/,9,2,3,0,4,0,0,0,0,https://www.github.com/objectcomputing/OpenDDS/tree/master/tools/modeling/testdata/MainDiagramTest_screenshot.png
objectcomputing/OpenDDS,1105.0,http://github.com/objectcomputing/OpenDDS/,9,2,3,0,4,0,0,0,0,https://www.github.com/objectcomputing/OpenDDS/tree/master/docs/design/UML/DDS_new_transport.uml
objectcomputing/OpenDDS,1105.0,http://github.com/objectcomputing/OpenDDS/,9,2,3,0,4,0,0,0,0,https://www.github.com/objectcomputing/OpenDDS/tree/master/docs/design/UML/history/DDS.uml
objectcomputing/OpenDDS,1105.0,http://github.com/objectcomputing/OpenDDS/,9,2,3,0,4,0,0,0,0,https://www.github.com/objectcomputing/OpenDDS/tree/master/docs/design/UML/history/DDS.xmi
objectcomputing/OpenDDS,1105.0,http://github.com/objectcomputing/OpenDDS/,9,2,3,0,4,0,0,0,0,https://www.github.com/objectcomputing/OpenDDS/tree/master/tools/modeling/docs/08-06-19.xmi
objectcomputing/OpenDDS,1105.0,http://github.com/objectcomputing/OpenDDS/,9,2,3,0,4,0,0,0,0,https://www.github.com/objectcomputing/OpenDDS/tree/master/tools/modeling/docs/08-06-20.xmi
enthought/mayavi,1104.0,http://github.com/enthought/mayavi/,2,0,1,0,1,0,0,0,0,https://www.github.com/enthought/mayavi/tree/master/docs/source/mayavi/images/design2b.png
enthought/mayavi,1104.0,http://github.com/enthought/mayavi/,2,0,1,0,1,0,0,0,0,https://www.github.com/enthought/mayavi/tree/master/docs/source/mayavi/images/core-class.xmi
godlikepanos/anki-3d-engine,1062.0,http://github.com/godlikepanos/anki-3d-engine/,2,0,2,0,0,0,0,0,0,https://www.github.com/godlikepanos/anki-3d-engine/tree/master/docs/drafts/scene.xmi
godlikepanos/anki-3d-engine,1062.0,http://github.com/godlikepanos/anki-3d-engine/,2,0,2,0,0,0,0,0,0,https://www.github.com/godlikepanos/anki-3d-engine/tree/master/docs/drafts/scene2.xmi
GIScience/openrouteservice,1029.0,http://github.com/GIScience/openrouteservice/,2,1,0,0,0,0,0,1,0,https://www.github.com/GIScience/openrouteservice/tree/master/documentation/ORS_classDiagram.jpg
GIScience/openrouteservice,1029.0,http://github.com/GIScience/openrouteservice/,2,1,0,0,0,0,0,1,0,https://www.github.com/GIScience/openrouteservice/tree/master/documentation/ORS_classDiagram.uml
GIScience/openrouteservice-core,1029.0,http://github.com/GIScience/openrouteservice-core/,2,1,0,0,0,0,0,1,0,https://www.github.com/GIScience/openrouteservice-core/tree/master/documentation/ORS_classDiagram.jpg
GIScience/openrouteservice-core,1029.0,http://github.com/GIScience/openrouteservice-core/,2,1,0,0,0,0,0,1,0,https://www.github.com/GIScience/openrouteservice-core/tree/master/documentation/ORS_classDiagram.uml
sipsorcery/sipsorcery,1023.0,http://github.com/sipsorcery/sipsorcery/,1,0,0,0,1,0,0,0,0,https://www.github.com/sipsorcery/sipsorcery/tree/master/Design/Modelling/SIPSorcery-RegistrationAgent-StateDiagram.png
SonarSource/sonar-java,1001.0,http://github.com/SonarSource/sonar-java/,2,0,0,0,0,0,0,0,2,https://www.github.com/SonarSource/sonar-java/tree/master/its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/nested/doc-files/nestedUML.gif
SonarSource/sonar-java,1001.0,http://github.com/SonarSource/sonar-java/,2,0,0,0,0,0,0,0,2,https://www.github.com/SonarSource/sonar-java/tree/master/its/plugin/projects/struts-1.3.9-lite/tiles/src/main/java/org/apache/struts/tiles/taglib/doc-files/tilesUML.gif
boost-experimental/di,998.0,http://github.com/boost-experimental/di/,6,4,0,0,2,0,0,0,0,https://www.github.com/boost-experimental/di/tree/cpp14/doc/images/coffee_maker_uml.png
boost-experimental/di,998.0,http://github.com/boost-experimental/di/,6,4,0,0,2,0,0,0,0,https://www.github.com/boost-experimental/di/tree/cpp14/doc/images/uml_dumper.png
boost-experimental/di,998.0,http://github.com/boost-experimental/di/,6,4,0,0,2,0,0,0,0,https://www.github.com/boost-experimental/di/tree/cpp14/doc/uml/coffee_maker.uml
boost-experimental/di,998.0,http://github.com/boost-experimental/di/,6,4,0,0,2,0,0,0,0,https://www.github.com/boost-experimental/di/tree/cpp14/doc/uml/di.uml
boost-experimental/di,998.0,http://github.com/boost-experimental/di/,6,4,0,0,2,0,0,0,0,https://www.github.com/boost-experimental/di/tree/master/doc/uml/coffee_maker.uml
boost-experimental/di,998.0,http://github.com/boost-experimental/di/,6,4,0,0,2,0,0,0,0,https://www.github.com/boost-experimental/di/tree/master/doc/uml/di.uml
apache/usergrid,995.0,http://github.com/apache/usergrid/,5,0,0,0,0,0,0,5,0,https://www.github.com/apache/usergrid/tree/master/stack/core/src/main/java/org/apache/usergrid/corepersistence/pipeline/PipelineDiagram.jpg
apache/usergrid,995.0,http://github.com/apache/usergrid/,5,0,0,0,0,0,0,5,0,https://www.github.com/apache/usergrid/tree/master/stack/core/src/main/java/org/apache/usergrid/corepersistence/pipeline/cursor/CursorDiagram.jpg
apache/usergrid,995.0,http://github.com/apache/usergrid/,5,0,0,0,0,0,0,5,0,https://www.github.com/apache/usergrid/tree/master/stack/core/src/main/java/org/apache/usergrid/corepersistence/pipeline/read/ReadDiagram.jpg
apache/usergrid,995.0,http://github.com/apache/usergrid/,5,0,0,0,0,0,0,5,0,https://www.github.com/apache/usergrid/tree/master/stack/core/src/main/java/org/apache/usergrid/corepersistence/pipeline/read/collect/CollectDiagram.jpg
apache/usergrid,995.0,http://github.com/apache/usergrid/,5,0,0,0,0,0,0,5,0,https://www.github.com/apache/usergrid/tree/master/stack/core/src/main/java/org/apache/usergrid/corepersistence/pipeline/read/traverse/GraphDiagram.jpg
dnnsoftware/Dnn.Platform,935.0,http://github.com/dnnsoftware/Dnn.Platform/,1,0,0,0,1,0,0,0,0,https://www.github.com/dnnsoftware/Dnn.Platform/tree/master/Documentation/Resources/Images/EvoqContent/MobileDevicesSupport/CreateMobileDiagram.png
lviggiano/owner,889.0,http://github.com/lviggiano/owner/,3,3,0,0,0,0,0,0,0,https://www.github.com/lviggiano/owner/tree/master/owner-site/docs/uml/config-hierarchy.uml
lviggiano/owner,889.0,http://github.com/lviggiano/owner/,3,3,0,0,0,0,0,0,0,https://www.github.com/lviggiano/owner/tree/master/owner-site/docs/uml/propertychange-event.uml
lviggiano/owner,889.0,http://github.com/lviggiano/owner/,3,3,0,0,0,0,0,0,0,https://www.github.com/lviggiano/owner/tree/master/owner-site/docs/uml/reload-event.uml
ElmerCSC/elmerfem,881.0,http://github.com/ElmerCSC/elmerfem/,1,0,1,0,0,0,0,0,0,https://www.github.com/ElmerCSC/elmerfem/tree/master/misc/netcdf/doc/GridDataMapper.xmi
apache/activemq-artemis,850.0,http://github.com/apache/activemq-artemis/,1,0,0,0,0,0,0,1,0,https://www.github.com/apache/activemq-artemis/tree/master/docs/user-manual/en/images/architecture1.jpg
djeedjay/DebugViewPP,821.0,http://github.com/djeedjay/DebugViewPP/,2,1,0,0,1,0,0,0,0,https://www.github.com/djeedjay/DebugViewPP/tree/master/art/ClassDiagram.png
djeedjay/DebugViewPP,821.0,http://github.com/djeedjay/DebugViewPP/,2,1,0,0,1,0,0,0,0,https://www.github.com/djeedjay/DebugViewPP/tree/master/art/StarUml class diagram.uml
javalite/activejdbc,819.0,http://github.com/javalite/activejdbc/,1,0,0,0,1,0,0,0,0,https://www.github.com/javalite/activejdbc/tree/master/doc/inheritance_umlet_class_diagram.png
spring-projects/spring-net,801.0,http://github.com/spring-projects/spring-net/,2,0,0,0,1,0,0,0,1,https://www.github.com/spring-projects/spring-net/tree/master/doc/reference/src/images/Migration_App_UML_Diagram.png
spring-projects/spring-net,801.0,http://github.com/spring-projects/spring-net/,2,0,0,0,1,0,0,0,1,https://www.github.com/spring-projects/spring-net/tree/master/doc/reference/src/images/aop-uml.gif
lcm-proj/lcm,800.0,http://github.com/lcm-proj/lcm/,1,0,0,0,1,0,0,0,0,https://www.github.com/lcm-proj/lcm/tree/master/lcm-java/jchart2d-code/doc/img/architecture.png
rbei-etas/busmaster,797.0,http://github.com/rbei-etas/busmaster/,1,0,0,0,1,0,0,0,0,https://www.github.com/rbei-etas/busmaster/tree/master/Documents/2 Requirement Specification/images/umls/id_dil_components_diagram.png
jenetics/jenetics,768.0,http://github.com/jenetics/jenetics/,1,0,0,1,0,0,0,0,0,https://www.github.com/jenetics/jenetics/tree/master/org.jenetics/src/main/java/org/jenetics/doc-files/StructureClassDiagram.svg
IQSS/dataverse,759.0,http://github.com/IQSS/dataverse/,11,11,0,0,0,0,0,0,0,https://www.github.com/IQSS/dataverse/tree/master/doc/Architecture/auth-classes.uml
IQSS/dataverse,759.0,http://github.com/IQSS/dataverse/,11,11,0,0,0,0,0,0,0,https://www.github.com/IQSS/dataverse/tree/master/doc/Architecture/components.uml
IQSS/dataverse,759.0,http://github.com/IQSS/dataverse/,11,11,0,0,0,0,0,0,0,https://www.github.com/IQSS/dataverse/tree/master/doc/Architecture/dataflow.uml
IQSS/dataverse,759.0,http://github.com/IQSS/dataverse/,11,11,0,0,0,0,0,0,0,https://www.github.com/IQSS/dataverse/tree/master/doc/Architecture/DataverseModel-agreed.uml
IQSS/dataverse,759.0,http://github.com/IQSS/dataverse/,11,11,0,0,0,0,0,0,0,https://www.github.com/IQSS/dataverse/tree/master/doc/Architecture/DataverseModel-current.uml
IQSS/dataverse,759.0,http://github.com/IQSS/dataverse/,11,11,0,0,0,0,0,0,0,https://www.github.com/IQSS/dataverse/tree/master/doc/Architecture/DataverseModel-uni1.uml
IQSS/dataverse,759.0,http://github.com/IQSS/dataverse/,11,11,0,0,0,0,0,0,0,https://www.github.com/IQSS/dataverse/tree/master/doc/Architecture/DataverseModel-uni2.uml
IQSS/dataverse,759.0,http://github.com/IQSS/dataverse/,11,11,0,0,0,0,0,0,0,https://www.github.com/IQSS/dataverse/tree/master/doc/Architecture/loadGroups.uml
IQSS/dataverse,759.0,http://github.com/IQSS/dataverse/,11,11,0,0,0,0,0,0,0,https://www.github.com/IQSS/dataverse/tree/master/doc/Architecture/request.uml
IQSS/dataverse,759.0,http://github.com/IQSS/dataverse/,11,11,0,0,0,0,0,0,0,https://www.github.com/IQSS/dataverse/tree/master/doc/Architecture/userLogin.uml
IQSS/dataverse,759.0,http://github.com/IQSS/dataverse/,11,11,0,0,0,0,0,0,0,https://www.github.com/IQSS/dataverse/tree/master/doc/Architecture/UsersAndGroups.uml
apache/isis,756.0,http://github.com/apache/isis/,10,0,0,0,10,0,0,0,0,https://www.github.com/apache/isis/tree/master/adocs/documentation/src/main/asciidoc/guides/images/reference-services-spi/PublishingService/yuml.me-23db58a4.png
apache/isis,756.0,http://github.com/apache/isis/,10,0,0,0,10,0,0,0,0,https://www.github.com/apache/isis/tree/master/mothballed/docbkx/core/applib/src/docbkx/guide/images/architecture-perspective.png
apache/isis,756.0,http://github.com/apache/isis/,10,0,0,0,10,0,0,0,0,https://www.github.com/apache/isis/tree/master/mothballed/docbkx/core/src/docbkx/guide/images/common/architecture-perspective.png
apache/isis,756.0,http://github.com/apache/isis/,10,0,0,0,10,0,0,0,0,https://www.github.com/apache/isis/tree/master/mothballed/docbkx/core/src/docbkx/guide/images/common/encoding-classdiagram.png
apache/isis,756.0,http://github.com/apache/isis/,10,0,0,0,10,0,0,0,0,https://www.github.com/apache/isis/tree/master/mothballed/docbkx/core/src/docbkx/guide/images/metamodel/architecture-diagram-top-level-with-specloader-expanded.png
apache/isis,756.0,http://github.com/apache/isis/,10,0,0,0,10,0,0,0,0,https://www.github.com/apache/isis/tree/master/mothballed/docbkx/core/src/docbkx/guide/images/metamodel/composition-diagram-top-level.png
apache/isis,756.0,http://github.com/apache/isis/,10,0,0,0,10,0,0,0,0,https://www.github.com/apache/isis/tree/master/mothballed/docbkx/core/src/docbkx/guide/images/progmodel/architecture-diagram.png
apache/isis,756.0,http://github.com/apache/isis/,10,0,0,0,10,0,0,0,0,https://www.github.com/apache/isis/tree/master/mothballed/docbkx/core/src/docbkx/guide/images/progmodel/composition-diagram-facets-package.png
apache/isis,756.0,http://github.com/apache/isis/,10,0,0,0,10,0,0,0,0,https://www.github.com/apache/isis/tree/master/mothballed/docbkx/core/src/docbkx/guide/images/runtime/architecture-diagram.png
apache/isis,756.0,http://github.com/apache/isis/,10,0,0,0,10,0,0,0,0,https://www.github.com/apache/isis/tree/master/mothballed/docbkx/core/src/docbkx/guide/images/webapp/architecture-diagram.png
elabftw/elabftw,734.0,http://github.com/elabftw/elabftw/,2,0,0,0,2,0,0,0,0,https://www.github.com/elabftw/elabftw/tree/master/vendor/phpdocumentor/phpdocumentor/src/phpDocumentor/Plugin/Scrybe/docs/internals/images/TableOfContents_Class_Diagram.png
elabftw/elabftw,734.0,http://github.com/elabftw/elabftw/,2,0,0,0,2,0,0,0,0,https://www.github.com/elabftw/elabftw/tree/master/vendor/zetacomponents/base/design/class_diagram.png
csgillespie/efficientR,696.0,http://github.com/csgillespie/efficientR/,1,0,0,0,1,0,0,0,0,https://www.github.com/csgillespie/efficientR/tree/master/figures/DiagrammeR-gantt-book.png
schubergphilis/Seccubus_v2,680.0,http://github.com/schubergphilis/Seccubus_v2/,1,1,0,0,0,0,0,0,0,https://www.github.com/schubergphilis/Seccubus_v2/tree/master/docs/GUI/umlSeccubusGUI.uml
ampas/aces-dev,677.0,http://github.com/ampas/aces-dev/,1,0,0,0,1,0,0,0,0,https://www.github.com/ampas/aces-dev/tree/master/documents/LaTeX/TB-2014-002/images/engineeringBlockDiagram.png
apache/wicket,674.0,http://github.com/apache/wicket/,4,0,0,0,2,0,0,2,0,https://www.github.com/apache/wicket/tree/master/wicket-user-guide/src/docs/img/mywebapp-class-diagramm.jpg
apache/wicket,674.0,http://github.com/apache/wicket/,4,0,0,0,2,0,0,2,0,https://www.github.com/apache/wicket/tree/master/wicket-user-guide/src/docs/img/uml-form-component.png
apache/wicket,674.0,http://github.com/apache/wicket/,4,0,0,0,2,0,0,2,0,https://www.github.com/apache/wicket/tree/master/wicket-user-guide/src/docs/imgOrigin/mywebapp-class-diagramm.jpg
apache/wicket,674.0,http://github.com/apache/wicket/,4,0,0,0,2,0,0,2,0,https://www.github.com/apache/wicket/tree/master/wicket-user-guide/src/docs/imgOrigin/uml-form-component.png
apple/swift-clang,673.0,http://github.com/apple/swift-clang/,1,0,0,0,1,0,0,0,0,https://www.github.com/apple/swift-clang/tree/stable/docs/DriverArchitecture.png
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_dec.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_emb.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sba.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sba_2.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbb.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbb_2.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbb_3.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbb_4.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbb_5.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbc.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbc_2.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbc_3.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbc_4.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbd.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbd_2.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbd_3.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbe.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbe_2.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbe_3.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbf.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbf_2.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbf_3.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbf_4.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbh.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbi.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbi_2.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbi_3.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbl.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbl_2.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbl_3.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbm.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbm_2.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbm_3.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbm_4.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbm_5.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbm_6.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbm_7.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbp.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbp_2.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbs.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbs_2.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbs_3.gif
apple/swift-lldb,671.0,http://github.com/apple/swift-lldb/,64,0,0,0,0,0,0,0,64,https://www.github.com/apple/swift-lldb/tree/master/www/python_reference/uml_class_diagram_for_lldb_sbs_4.gif
