Project,Contributors
AndroidSymmetry/frameworks_base/,30.0
andsimo/GpsWeatherData/,3.0
andy-metz/tequila/,3.0
andy135/PracticaVVS/,3.0
andygithub/ReferenceJohnASP/,2.0
aneta-7/Florist/,3.0
Angel-Avila/Proyecto-POO/,2.0
angelalow/angelalow.github.io/,2.0
angelazarquiel/programacion14/,2.0
angelgurrolac/Project-Eagle/,4.0
angelmich/design-patterns-in-ruby/,2.0
Angtrim/se2-project-ega/,3.0
anheru88/Pattern-Adapter-C-Sharp/,2.0
anhphamkstn/DVMC/,3.0
anicloud/ani-cas/,3.0
anilkagak2/EventsMap/,2.0
aniloc111/CompilerProject/,3.0
AnimalPlanet/pdf-to-mindmap-and-ppt-with-textrank/,2.0
anjagil/ProjektZespolowy/,4.0
anjueappen/QuickBuzzer_301/,3.0
ankit-gupta1/CollaborativeFiltering/,2.0
ankitkayastha/SLogo/,4.0
ankushkashyap/Task_Tracker/,4.0
annamcmahon/FundCompIIFinalProject/,2.0
AnnaPereverzieva/SailingPerformance/,3.0
annguyenit/fable.local/,2.0
AnnithaRamesh/Sample1/,3.0
AnnMalofeeva/Sudoku/,3.0
annndrey/npui-unik/,4.0
anobin/3DMagic/,2.0
anpar/LSINF1225-GrT/,5.0
ansp/game-of-life/,2.0
antbots/AntBot/,2.0
Anthony-Todd/Roguelike/,2.0
AnthonyGussy/Pandemie/,3.0
Antinornehs/HyperPlanning_IHM/,2.0
antiqe/RType/,5.0
AntoineAugusti/NoSQL-etatart/,2.0
antoinelaul/AL/,2.0
antoneliasson/edan15/,2.0
AntoninGarret/ProjProg3/,2.0
antoniodicivita/Ingegneria_Del_Software/,2.0
antoniohdez/Simulador-M-M-1/,3.0
antonioricardojr/si1Project/,2.0
AntonioRochaOliveira/EAPLI_PL_2DK/,10.0
AntonioRochaOliveira/EAPLI_PL_2NA/,9.0
AntonioRochaOliveira/EAPLI_PL_2NB/,10.0
antont/speedup-webui/,7.0
Antou/Pool/,3.0
anttross/events/,2.0
anushakondapalli25/software-engineering-project/,3.0
anwilliams93/cs373-idb/,6.0
anyii29/Perzan/,3.0
AOKP/frameworks_base_disabled/,30.0
AOKPSaber/frameworks_base/,30.0
aommm/bibbla/,4.0
AOSP-CAF/platform_frameworks_base/,30.0
AOSP-YU/platform_frameworks_base/,30.0
AOSPB/frameworks_base/,30.0
AOSPLUS/frameworks_base/,27.0
aospSX/platform_frameworks_base/,30.0
apache/activemq-artemis/,30.0
apache/batik/,6.0
apache/brooklyn-docs/,30.0
apache/clerezza/,12.0
apache/click/,4.0
apache/incubator-commonsrdf/,16.0
apache/incubator-geode/,30.0
apache/incubator-myriad/,28.0
apache/incubator-taverna-engine/,6.0
apache/isis/,30.0
apache/jmeter/,30.0
apache/karaf-site/,21.0
apache/maven-sandbox/,29.0
apache/maven/,30.0
apache/poi/,14.0
apache/struts-archive/,8.0
apache/tomee-site/,9.0
apache/usergrid/,30.0
apache/wicket/,30.0
apanda/e2d2-lldb/,30.0
apanda/pilo-ns3/,2.0
apanju/GMIO_Odoo/,30.0
apatel2499/enviroTech/,4.0
apcomptec/Indexes/,2.0
apcomptec/RAIDB/,2.0
apelttom/Maharajah/,2.0
APet74/cseProject/,2.0
aplgithub/haikudepotserver/,17.0
apllicationqcd/application-qcd/,2.0
apoclyps/BBC-News-Hack-II/,3.0
apoclyps/SoC-E-Health-Server/,3.0
apolitogaga/DataLakeSemanticAware/,2.0
appirio-tech/direct-app/,28.0
appirio-tech/topcoder-UML-Tool/,3.0
apple/swift-clang/,30.0
apple/swift-lldb/,30.0
apps8os/motivator/,2.0
AppSaloon/wp-oauth-framework/,2.0
Appsamblea/Appsamblea_docu/,4.0
AppScale/sample-apps/,8.0
apromore/ApromoreDev/,4.0
apyshkin/mps_repo/,18.0
aq1aq2/FPT-Mock-Project/,3.0
aqeelbutt/jenkins/,30.0
aqsaaa/bootcamp2015/,2.0
ArasHeper/Group5Project/,2.0
arcadenea/rockbot/,2.0
arcemu/arcemu/,15.0
ArchSirius/inf2990/,5.0
Arcidev/HauntedHouse/,4.0
ArcticFqx/QTSkoleProsjekt/,3.0
ardianwebikirda/DRAFT/,2.0
AreaROM/android_frameworks_base/,30.0
ArendtTh/FoPra1415AD/,2.0
ArendtTh/FoPra1415SM/,2.0
ArendtTh/Seminar-Eclipse-WS201415/,2.0
arey/java-object-mapper-benchmark/,8.0
arfoll/poky/,30.0
ArgTang/semesterprosject-V2015/,3.0
ArieClaassens/GEOG5561M/,2.0
arielamberden/iSafe/,2.0
arintole/arintole.github.io/,11.0
Aris1353/Hotelio/,2.0
arjovanramshorst/bubble-bobble-sem/,6.0
arjunswaj/self-healing-water-networks/,2.0
arkadiusz-kiliszek/ProjektZespolowy/,3.0
arkan382/OnlinRezteurentSystam/,2.0
arleenponce/Animal-Shelter-Group-Project/,5.0
ArmindoBC/AIAD1415/,2.0
arnajib/ericssontracecompass/,30.0
arnajib/testgerrit/,2.0
arnakigiaxni/e-exams/,2.0
arnaldog12/MeuBebeAndroid/,3.0
arnarleifs/TicTacToe/,5.0
arnaudcoj/gl_pba_club/,3.0
ArnOLFx/Phoenix_v1/,2.0
arnzame/web-information-systems/,2.0
arollavengers/arollavengers.github.com/,2.0
aroquemaurel/Boggle/,2.0
aroquemaurel/LibUML/,2.0
Arquisoft/Trivial_i2a/,8.0
Arquisoft/Trivial1b/,10.0
Arquisoft/Trivial5b/,10.0
ArquitecturaSoft/UNAirlines/,5.0
Arrenda-me/arrenda_me/,5.0
arsalankhalid/Tetrov/,2.0
arsenij-solovjev/OpenStoryboards/,2.0
arsenij-solovjev/sonar-modelbus-plugin/,5.0
arsf/lag/,5.0
arteymix/arteymix.github.io/,2.0
arthaud/raytracer/,3.0
ArthurMLago/Cave-Keeper/,7.0
Artiavis/sereporttemplates/,5.0
artilerien/ProyectoGPI-II/,4.0
artist-project/ARTIST-MDT/,2.0
artist-project/ARTIST/,19.0
artLopez/projectNEO/,2.0
arturmezhidov/FileSocialNetwork/,2.0
artyomtrityak/backbone-package-example/,2.0
arvinisaac/myrepo/,3.0
asajbel/werescrewed/,8.0
asalinasv/sudoku_python/,2.0
asascience/THREDDS/,30.0
Aschen/minestorm/,4.0
Aschen/SmartServeur/,3.0
asciidocfx/AsciidocFX/,25.0
asciidoctor/asciidoctor.org/,30.0
ascott18/Mailer/,3.0
ascott18/PVC/,3.0
asenf/team_SignalGreen/,3.0
asep2014/cometpark/,3.0
ashalper-usgs/aq2rdb/,2.0
Ashenwing/Battleship/,2.0
AsherWright/ECSE211-DPM/,3.0
ashevelov/Nebula_Client/,2.0
ashimaabrol/azure-content/,30.0
ashishkumar1993/PaintSoftware/,2.0
AshitakaLax/SmartHome/,4.0
askiba/master-thesis/,2.0
askpt/ARQSI/,2.0
askpt/LAPR3/,4.0
askpt/LAPR4/,4.0
aspett/cluedo/,2.0
aspett/javamon/,2.0
aspikirby/intersection/,3.0
asrob-uc3m/robotDevastation/,4.0
asterisk/pjproject/,30.0
AsteriskoBerdinKoma/bizalokud/,2.0
asterixom/CookieApp/,4.0
asu-cis-capstone/smockish/,6.0
aszasz/Manual_do_Haxe/,2.0
atadeesom/BubbleBeeDoc/,5.0
ateston/user-manager/,2.0
atf11/testlink/,2.0
AthanasiosKechrimparis/Leisner/,3.0
athlan/polsl-picknplay-doc/,2.0
Athmailer/odoo-dev/,30.0
atlanmod/emfviews/,6.0
atlanmod/mondo-atlzoo-benchmark/,5.0
atlanmod/org.eclipse.atl.atlMR/,5.0
atlanmod/org.eclipse.atl.reactive/,6.0
ATLANTBH/jmeter-components/,10.0
atniptw/massive-octo-ninja/,3.0
ATOffenburg/eCar/,2.0
atok/POWERsim/,4.0
auchenberg/chrome-devtools-app/,6.0
AudioCommons/audiocommons.github.io/,10.0
audioscience/avdecc-lib/,8.0
AugmentedDesignLab/botprint2/,2.0
Aurele-Barriere/Ants_VS_Bees/,2.0
Aurelien62/appliCinema/,2.0
aureliendc/asd-tower-defense/,4.0
Auropen/BikeTilting/,3.0
Auropen/SecondHandCars/,3.0
aurora-java/aurora-ide/,5.0
AustinCWells/HelpMeOut/,6.0
austinglaser/csci3308-project/,4.0
autious/kravall/,9.0
autonomousagents/Assignment2/,2.0
autonomousagents/src/,3.0
autouav/finalproject/,2.0
Avans/Prog6/,2.0
avantage-compris/avc-diagrammer/,2.0
avdi/alter-ego/,3.0
Aveys/Les-tresors-de-Java/,5.0
avgaydashenko/Race/,2.0
aviadhahami/HomeWorkThirdYearFirstSemester/,2.0
avsm/src/,30.0
aw1621107/hacks/,3.0
Awake360/Data/,3.0
AWeaver37/cs121-team15-edu-game/,2.0
awh112/csc440_portal/,2.0
AWildGumiho/moonglaive/,3.0
ax-rwnd/BASAC/,4.0
AxelMueller/IfIWereYou/,2.0
Ayatallah/Looprac/,8.0
Ayatallah/Twikly/,8.0
aydex/IT1901-Gruppe11/,4.0
aymericbouzy/balise/,4.0
AzariasB/QTypingTest/,2.0
azat-archive/qtcreator/,30.0
Azzepa/Skellington/,2.0
B-Stefan/ZIMG/,3.0
B00075707/3stooges/,2.0
B0gdar/ISE_ArchitectureDesign/,7.0
b25stb/cs-3716-project-h/,5.0
B3Partners/b3p-commons-csw/,8.0
b4um1/wasserapp/,3.0
b5510546671/XTreme-Sportshop/,5.0
babayka74/vwml/,2.0
babela86/ProjectoFinal/,2.0
BackupTheBerlios/trumpet/,3.0
BadBoysInc/ScotlandYardOnline/,2.0
baerrach/maven-scm/,30.0
bahit/FacultyCooperative/,3.0
baidu/broc/,4.0
BaierGroup/FitApp/,2.0
baiqizhang/DSTeam10/,2.0
baitarn/TestAndMaintainance/,3.0
bakhtout/odoo-educ/,30.0
bakinibilel/comtrek/,4.0
Bakkes/Karo/,6.0
balamrod/seminario/,2.0
baldeblack/Proyecto_w/,3.0
balhar-jakub/nakaza/,2.0
baliga-lab/gaggle-genomebrowser/,2.0
balintandras/bead/,2.0
bamtech/odoo/,30.0
Banana4Life/Exmatrikulation/,4.0
bananabatman/prutt/,2.0
bananee/DesarrolloDeAplicaciones-GrupoB/,2.0
banasik/Semesterprojekt2/,6.0
banasik/Semesterprojekt3/,5.0
banav/Banav/,2.0
bangstk/Survinator/,2.0
Bankmongot/Pfi2/,2.0
Banno/heatblast/,2.0
BaptisteDegryse/PersonnalProjects/,2.0
BaptisteMounier/Taquin-BarbierMounier/,2.0
BarAgCud/tallerII/,2.0
Barbatos/StadeEauVive/,4.0
barcharcraz/SMMM/,2.0
barreyo/tankz/,4.0
barrmy/frameworks_base/,30.0
barrybecker4/bb4-ui/,2.0
barrykn/android_frameworks_base-cm72-bkndh1/,30.0
barsgroup/m3-core/,7.0
Baruh/Projects/,2.0
basemp44/padsoft2014/,2.0
Basian/PC-WallDistanceProject/,3.0
BasicConceptClassification/ClassificationDeveloper/,5.0
bassie97/Project-Paarse-vogel/,4.0
BastienIstil/Marathon/,5.0
batatero/arquiteturaPHP00/,2.0
Batfackel/SDDGroupProject/,6.0
batwood001/learning_app/,5.0
baudvix/roboteams/,5.0
baumjamin/gogool/,2.0
baygoit/GoJava/,30.0
bbengfort/printing-press/,6.0
bboecherer/SailingSchoolManagerWPF/,4.0
bbustillos/saleh_dev/,2.0
bcaudell95/EECS448_HW4/,2.0
bcaudell95/EECS448_HW5/,2.0
bcfurtado/educabrasil/,2.0
bDino/VS2013-2014/,2.0
BDSA-2015/AutosysDocuments/,4.0
BDSAMacGyvers/AS39/,2.0
BDSAMacGyvers/AS40/,3.0
BDSAMacGyvers/AS45/,3.0
bdvll/CS3103Proj/,2.0
Beatmeifyoucan/Service/,2.0
beatorizu/ProjetoSeboOnline/,3.0
BeatProgramming/teacher_tracker/,3.0
beaussart/angryBrids/,3.0
bebopsan/peyeQM/,3.0
becuz/RESTmoteControl/,2.0
Beefster09/cs340-catan/,4.0
begly/Ant-Simulation/,2.0
behnaaz/extensible-coordination-tools/,2.0
behnamhatami/91-2-OOD-Exhibition/,2.0
BelieveROM/frameworks_base/,30.0
beljul/Irrlicht_CPP_DTU/,2.0
bellevik/glory/,7.0
BenAllenUK/PANDA-Coursework-3/,2.0
benas/gamehub.io/,4.0
bender-futur/pujcovna-stroju/,4.0
benetech/Martus-Project/,3.0
bengol/RakNet/,6.0
BenHand/madlib/,3.0
benjaffe/vinyl/,20.0
BenjaminJornet/ChessGame/,2.0
benlau/quickandroid/,3.0
benlau/quickflux/,7.0
BeNMarco/TrafficoViarioSCD/,2.0
benna100/CityWalk/,3.0
benoitbleuze/OTSDesignPatternLecture/,2.0
benpicco/mate-deskbar-applet/,30.0
Bensge/Project-alpha/,4.0
bensmooth/raytracer/,2.0
benwayne182/proxybanque/,3.0
benyu2/Test/,3.0
BenzoPlayer/frameworks_base/,30.0
BenzoRom/frameworks_base/,30.0
beranradek/formio/,4.0
BergarSimonsen/BNDN-Project/,5.0
BergarSimonsen/SMDP/,3.0
bergs13/ch.bfh.bti7301.hs13.team1.graphviewer/,2.0
bergsteiger/dummycalculator/,2.0
bergsteiger/mindstream/,3.0
berna87/ProyectoTema2PSS/,3.0
bernagg/arcowabungaproject/,4.0
bernhardfritz/SchiLiftApp/,3.0
berryjam/Doxygen-Ubigraph-GUI/,2.0
bersve26/TCSS-511-2016/,2.0
bertiniteam/b2/,8.0
bethanynagel/StormChaser/,2.0
BETTEGuillaume/Angrybirds2/,4.0
beziarum/pong/,2.0
bfaltrep/BDD/,2.0
bfarndt/gerencia_noticia/,4.0
bfh-evg/unicert/,2.0
BGCX067/fallout-equestria-git/,3.0
bgmacaque/conception-tut/,2.0
bgpro/hilcom/,2.0
bhanu550/FlyinTravel/,4.0
BHITS/Consent2Share/,9.0
bhzunami/FHNW/,5.0
bi3mer/networkedChess/,3.0
biancaJeleu/epf-fdd/,2.0
BichonxD/laFac.com/,4.0
bieridee/bieridee-docs/,3.0
BIG-Tools/BigBrowser/,3.0
bigwookiee/CS383/,4.0
Bildoor/Uppdrag5/,2.0
billrive/billrive/,7.0
BillWenChaoJiang/JobSearchEnhancer/,2.0
BinaryBrain/HEIG-POO/,3.0
BinoneJava/BatailleNavaleSamAntho/,2.0
BIO-DIKU/SeqScan/,4.0
biocore/scikit-bio-presentations/,3.0
biohack/ajls-baltimore-clueless/,2.0
bioinfocttj/data_mining/,2.0
bioinformatics-ua/neji/,2.0
