repo,stargazers_count
7ung/NMGAME,3.0
85pando/Zusammenfassungen,3.0
sarantapichos/faircoop-market,3.0
OpenDesign-SUPSI/Design-with-the-user_Slides,3.0
jonathankowalski/CasseBriques,3.0
sappho192/BMSParser,3.0
sapphireworks/website-generator,3.0
jonatasdaniel/tcc,3.0
sebkopf/isoread,3.0
Timothep/Cells.net,3.0
xiaoxiaofan/game-ui-solution,3.0
fabriceleal/ImageProcessing,3.0
bojoer/loadui,3.0
santa01/graphene,3.0
A-Team-CS320/ER-Tutoring-System,3.0
tonyli71/osp7-training,3.0
Jokab/Bullet-Inferno,3.0
francois/blog.teksol.info,3.0
mattcaldwell/react,3.0
kakaxi1100/utopia,3.0
gabrielhomsi/galaga,3.0
bassdeveloper/Panapoll,3.0
g-ben-wiz/ARMinis,3.0
TheFuzzball/VibeServer,3.0
fsouza/go-concorrencia,3.0
MinHalsoplan/netcare-healthplan,3.0
adriangeles/pacman,3.0
kajnelissen/Sedat,3.0
adrien59cadri/git_presentation,3.0
ronny-macmaster/EE-422C,3.0
RostarSynergistics/ShinyExpenseTracker,3.0
wlodi83/BabyWall,3.0
bdfinlayson/textula,3.0
Drusy/HotspotMap,3.0
triptych/UndumER,3.0
Wookesh/G-Race,3.0
MILE-Lab/indic-keyboards,3.0
rpcraig/android_frameworks_base,3.0
dropsonic/thesis_docs,3.0
dverstap/jsmiparser,3.0
gabomarin/venta_web,3.0
TheClimateCorporation/tcc-oada,3.0
frs69wq/simgrid,3.0
TheJeremyGray/FileWatcherService,3.0
kaffeesiader/bachelor_thesis,3.0
worklez/kedr,3.0
pawelprazak/java-extended,3.0
Calleberg/Operation_5A,3.0
bwormley/CS151_RPS,3.0
dudes/RiverRaid,3.0
drf/Ketaroller,3.0
thefuture2092/monlift,3.0
fresearchgroup/Enhancement-of-JMeter,3.0
paulorcmendes/pamonhaDeveloper,3.0
MarkZ3/Eclipse-CDT-WIP,3.0
oberluz/marble,3.0
ronghanghu/SanguoshaEX,3.0
mikhaildubov/Component-model,3.0
hernad/plantumlqeditor,2.0
sanjayankur31/bionav,2.0
limitium/mera,2.0
radical-cybertools/saga-python,2.0
faelsantos/PersonalCollections,2.0
mjabali/sparks,2.0
rafaelfonte/Computer-Graphics-Final-Work,2.0
sankark/sankar,2.0
rafaelbezerra-dev/PlantMonitoringSystem,2.0
helioloureiro/opensaf-fork,2.0
FabioRos/linQedIn,2.0
ronvs/canvas-load-test,2.0
sapo93/JnODE,2.0
victorzhao1990/SBS-Evaluation,2.0
hermes5/dataintegration,2.0
lgfang/lgfang.github.io,2.0
r2d236po/PCWorms,2.0
r2bapps/BaseProject,2.0
seek-for-android/platform_frameworks_base,2.0
gcaaa31928/KanbanBoard,2.0
shu8i/Hot-Potatoes,2.0
MaximusV/pyturn-battle,2.0
hediet/php-type-reflection,2.0
andrewlord1990/resonance-game,2.0
GDGPardubice/design-patterns-in-action,2.0
Stanley/tram2000,2.0
FablabLannion/IllustraBot2,2.0
stefanmuenchow/Smart-Collections,2.0
DailyDilemma/COMP4350,2.0
shubhamvadhera/cmpe202-personal-project,2.0
endvisoft/Thesis,2.0
d33tah/nmap-ptunnel-discovery,2.0
doriancuentas/nbp-resources,2.0
xiaol/singularity-clover,2.0
LIFECorp/frameworks,2.0
d3faultdotxbe/autobackup,2.0
Fuuzetsu/dragon-wars,2.0
henkmollema/StudentFollowingSystem,2.0
d0k1/JUG.EKB.GWT,2.0
AndruxaSazonov/termpy,2.0
andromedarabbit/earlgrey,2.0
nacho/gtranslator,2.0
Dorely/CIT360Team,2.0
lincedev/OpenPizza,2.0
d33tah/internet-census-2012-research,2.0
sebprunier/installations-sportives-pdl,2.0
Fabricate/OpenthingsImplementation,2.0
nagash91/beaconav,2.0
AndroidLearnerchn/AndroidLibraryProject,2.0
sanmen1593/AccountingBook,2.0
EMU-Honors/emu_honors_application,2.0
emreozanalkan/MSCVHomeworks,2.0
raaum/nkisi,2.0
santiperez/MAREA2,2.0
securesystemslab/forward-cfi-clang,2.0
Lightstreamer/Lightstreamer-example-AuthMetadata-adapter-java,2.0
dagimf/AAIT_Weather_Station,2.0
facumolina/c-tdscompiler,2.0
xiaojianwu/p2psamples,2.0
wesleycyn/ezForth,2.0
sekmet64/Little-Dictionary-Builder,2.0
Mauxx91/Multiplatform-File-Analyzer,2.0
srhee91/Team-Up,2.0
vireshj/groep5,2.0
sri-soham/pg-piwik,2.0
ranjitha-kuntimaddi/PathPlanning,2.0
fboender/documents,2.0
DanMoyer/BizGear,2.0
Woodje/MailClient,2.0
AhmedDeif/elmenusFeed,2.0
hanssonr/examensarbete,2.0
mgontav/PyML,2.0
vipuldivyanshu92/Projects,2.0
HardMagic/Pedadida,2.0
ElViajero/NeverEatAlone,2.0
harikrishnanp/ice-cream-shop,2.0
mgodoymorais/rason,2.0
ralphite/JDK1.7-Notes,2.0
mwkuster/oiaw,2.0
raphaelmun/Xen,2.0
VirtoCommerce/vc-community-1.x,2.0
EmilBechMadsen/dronecharge,2.0
srgblnch/PicoHarp300,2.0
dariuskylin/network-programming,2.0
livedata/draw.io,2.0
darius-kim/pjsip,2.0
mhalkovitch/Xamarim,2.0
manuelbanz/social-monitoring-prototype,2.0
Manuelinux/javaTraining,2.0
rasendubi/blog,2.0
Serega290696/Disk_scanner,2.0
dapaulls/CollegeAdminDatabase,2.0
mvolkmann/VMap,2.0
Srdjan/timok.rbr,2.0
HamiltonSantos/TCC,2.0
dondi/paradixm,2.0
Serega290696/Crypto,2.0
andre487/view-testing-examples,2.0
dantomosoiu/PSD3,2.0
hanh090/easyfunc,2.0
mwleeds/cs315-chocAn,2.0
SINTEF-9012/oryx-neffics,2.0
rajegannathan/grasp-lift-eeg-cat-dog-solution-updated,2.0
HassanNahhal/System-Design-Assignments,2.0
ahimanikya/FrescoMDM,2.0
ssw-parser/SSW_Parser,2.0
samtipton/cs373-idb,2.0
sswly/JavaCodeGenerator,2.0
rahmanusta/java-service-spi-example,2.0
hazenme/nmap-android,2.0
LinuxDoku/msc_pls,2.0
andrepires/mymoney,2.0
RageGo/RageGo,2.0
SamuelCox/Noise,2.0
danhaywood/danhaywood.github.io,2.0
hectorsanchez/acheckersgame,2.0
rafamanzo/Xadrez-em-Realidade-Aumentada,2.0
faradayio/numbers,2.0
mjhugo/MSSE,2.0
vincentlau0493/Object-Oriented-Design,2.0
a1arias/Fashion-Helper,2.0
andremn/lpd-compiler,2.0
Danielbook/3D_Projekt,2.0
hawesg/cs56hs,2.0
rahular/rStock,2.0
DanielPa/Eplanwiki.Scripting,2.0
SeoulTech/Manal,2.0
maxdup/Lune,2.0
MyAOSP/frameworks_base,2.0
willemallan/tcc-django,2.0
danielgg88/ICA-SVP_Server,2.0
sinojelly/plantumleditor,2.0
shreyasvalmiki/SEProject,2.0
SenecaCDOT-BigBlueButton/SenecaBBB,2.0
ftisunpar/IFStudentPortal,2.0
senior-design-crowd/crowdify,2.0
ManuelRauber/ToasterRoaster,2.0
rootjs/specifications,2.0
DanielChrome/ControleDeVendas,2.0
senilica/LostVaults,2.0
LipliStyle/Liplis-Android,2.0
VincentTam/vincenttam.github.io,2.0
markmcd/google_android_frameworks_base,2.0
Fabien-B/Web_ASA_Sourdoire,2.0
creckord/org.eclipse.uml2,2.0
schastny/InTender,2.0
etienne-github/GestureChallenge,2.0
lbleon/SalesManager,2.0
studentbox/zusammenfassung-vsk,2.0
crholm/MDFS,2.0
stumoodie/PathwayEditor,2.0
MisterPup/OpenStack-Neat-Ceilometer,2.0
silkslostsoul/Eventalizer,2.0
vavavr00m/codeuml,2.0
mechiland/buffalo,2.0
minacode/ILIAS-Review-Project-Documentation,2.0
GarryMoveOut/inwentaryzator,2.0
wldchld/InventoryManagementApp,2.0
subugoe/format-converter,2.0
scottplus/ChatServer,2.0
garciparedes/Academia-Class-Diagram,2.0
mistycheney/registration,2.0
sc4v3ng3r/MathStat,2.0
hexizheng/open,2.0
CrowPg/UV,2.0
aguadev/aguadev,2.0
erlide/erlide.github.io,2.0
pyr/blog,2.0
agrynco/db-updates-applier,2.0
Pyeroh/mobarenahelper,2.0
Vdragon/NTOU_CPP_Lab_Opensource_Project,2.0
europeana/tools,2.0
mdl29/tidutyzef,2.0
htl-leonding/2015_fiply,2.0
Strewya/engine,2.0
Erotix8210/FrozenCore,2.0
NCIP/common-biorepository-model,2.0
NCIP/invivo-imaging-middleware,2.0
sbrissen/tsmpoolparty_frameworks_base,2.0
apache/struts-archive,2.0
apache/tomee-site,2.0
vargax/ejemplos,2.0
gabrielfagundez/malva,2.0
drj826/sml-library,2.0
pruiz/openbsd-src,2.0
psnider/people-service,2.0
Aracthor/SLIM3D,2.0
scottbyrns/Machine-Learning,2.0
nemomobile-graveyard/libmeegotouch,2.0
drFabio/gingerJs,2.0
afergadis/aat,2.0
meetings/gearsloth,2.0
marcplouhinec/opentravelmate,2.0
nebrius/dissertation_paper,2.0
summea/kask-kiosk,2.0
iainworkman/370Project,2.0
sciolizer/everywhere-purescript,2.0
megadotnet/MQAdapter,2.0
Scombster/Zatch,2.0
Iberos/FRoG-Creator,2.0
gale16/WhatsAudit,2.0
costi31/CostanzoDisabato,2.0
Estudiantina/Estudiantina,2.0
Nemati/Trace-Compass,2.0
ese-unibe-ch/ese2013-team7,2.0
gametechnology/psi-2013,2.0
PublicMapping/publicmapping.github.com,2.0
sugar-lang/case-studies,2.0
escidoc/escidoc-core,2.0
hunterhacker/jdom-site,2.0
GameShopAdvance/GameShop-Advance,2.0
Galufra/galufra-webapp,2.0
PT4/ProjetS4,2.0
Nedkali/DiaBaseV1,2.0
gabrielsimas/SistemasExemplo,2.0
psymicgit/dummy,2.0
SiderZhang/p2pns3,2.0
ag4work/FirstRepository,2.0
Cowa/Swrid,2.0
largerussiangames/ogre,2.0
dpobel/dpobel.github.io,2.0
cs2103jan2015-f11-4c/main,2.0
mittwinter/zerobot,2.0
cstipkovic/academic-works,2.0
ctsit/redi-dropper-client,2.0
metno/wdb-feltload,2.0
quantdse60878/HSTS,2.0
dscholz-tgm/Roboterfabrik,2.0
epitome3d/Epitome3D,2.0
leonwetzel/VK,2.0
anpar/LSINF1225-GrT,2.0
DouglasAllen/linux-app-docs-A,2.0
ExpFront/estash,2.0
hl3w22bupt/rapidapp,2.0
exu/emacs-org,2.0
NataliaDiaz/SmartDosing,2.0
roca/GO,2.0
natanaugusto/draw-gmaps,2.0
CSSE374-CJJB/Java-UML-Generator,2.0
Extrem-mods/skrupel-v1.0,2.0
eyvindbg/reactiveblocks,2.0
eperep/android_framework_base,2.0
metno/wdb-pointvalueload,2.0
eomprogramming/Peer-Tutoring,2.0
DoubleBond/AnotherOne,2.0
lewismc/yax,2.0
MaykoRS/Proyecto-X,2.0
ahajirnis/FallUML2013,2.0
fabian/home-automation,2.0
levicosta201/twMerco,2.0
querrec/Mascaret,2.0
enricobacis/qubet,2.0
darkdigitaldream/Typhoon,2.0
leth/SpecGen,2.0
FWidm/Sopro2013MMS,2.0
cvielma/SimulationModelsSystem,2.0
Que20/PlanMyTrip,2.0
73153/COCOACONTROLS-BEST-RATINGS-DEMO-ALL-MIXTURE_____BEST-OF-ALL,2.0
66095021/deepsecurity,2.0
NateNet/DFLinkDemo,2.0
HNeukermans/Hallo,2.0
vegaics/android_frameworks_base,2.0
leithaus/davinci,2.0
SeamlessDistribution/SeamlessDistribution.github.io,2.0
advx9600/pjsip-android,2.0
xmduhan/qisite,2.0
DPastl/GliderFlightTest,2.0
savi21/Proyecto-programaci-n-I,2.0
SE-Beleggruppe/Beleg_Planung,2.0
Qabel/qabel.github.io,2.0
MariusPopa/PizzaOrdering,2.0
leojg/Paradise-Hotel,2.0
AntonioRochaOliveira/EAPLI_PL_2DK,2.0
cs319-group9/graderpp,2.0
mixxx911/Remote-Control-Application,2.0
sayan801/DailyNoteBook,2.0
NCIP/caaers-docs,2.0
howaryoo/pastelike,2.0
NCIP/cabio,2.0
CS499Group6/PIMS,2.0
Mercieral/374BlueShells,2.0
honnel/neuroph,2.0
Leo0618/Android-BaseProject,2.0
gazdahimself/current,2.0
seb1b/S-BPM_VR,2.0
hoffmanc/FileHelpers,2.0
exortech/presentations,2.0
Naviecha/Resto-Joglo-Manis,2.0
dougm/jets3t,2.0
antkozak/svnkit,2.0
SeaSharpe/Design,2.0
xiufengliu/3XL,2.0
qinjin/P2PDataTransfer,2.0
4IF-H4202/SysBag,2.0
homewsn/homewsn.github.io,2.0
satram/hlssegmenter,2.0
McKizzle/AoS,2.0
AntoineAugusti/NoSQL-etatart,2.0
mvladk/dp2012,2.0
SIPfoundry/sipXrouter,2.0
SalvageMod/platform_frameworks_base,2.0
Motiva/vtkESQui,2.0
rpaugusto/Delphi7_SQLServer,2.0
ackepenek/HavayoluSirketSistemi,2.0
revan/HeartRateAdjuster,2.0
DevTeamOne/project-root,2.0
matEhickey/Hop3x_2,2.0
DusanMadar/TPRT,2.0
lvarayut/Bookstore,2.0
rowboat/frameworks-base,2.0
eCostaRibeiro/trabalho,2.0
Eddy0402/MSP430f5529_Linux_template,2.0
edeposit/edeposit.amqp.aleph_link_export,2.0
edeposit/edeposit.amqp.aleph,2.0
floitsch/gpexport,2.0
motiver/motiver_fi,2.0
acgs/PyDynDS,2.0
DevMountain/LifeAndDeath,2.0
mosi-mosi/mosi-mosi,2.0
ecolell/ecolell.github.io,2.0
wuzhenyujimmy/spring-can-import,2.0
rkrx/php-key-value-stores,2.0
adarshkumarsingh83/design_pattern,2.0
diasdavid/thesis.browserCloud.js,2.0
ecell/spatiocyte,2.0
gmonnerat/monografia,2.0
MikeHoffert/fbms,2.0
RushilPatel/BattleForWesnoth,2.0
adammfrank/Bridge,2.0
WarLion/color-icons-nox,2.0
geper/Decision_tree,2.0
adamdempsey90/adamdempsey90.github.io,2.0
ad-m/wypozyczalnia-wideo,2.0
alexdeia/Software-Engineering_WF,2.0
dgraziotin/dycapo-thesis,2.0
wangvnn/DCIvsAOP_RibbonApp,2.0
shmeleva/Human-Detection-Course-Project,2.0
RLH78/CPTS_323_Project,2.0
malditogeek/FutureJS-2014,2.0
AlexPerrot/GettingThingsDone,2.0
aakashsharan/inheritance-polymorphism-java,2.0
RYTong/erlide,2.0
gosia-wielgus/jms-brokers,2.0
Ryp/PSPgames,2.0
FIU-SCIS-Senior-Projects/Collaborative-Platform,2.0
sojakrob/PRO-ELearning,2.0
FIU-SCIS-Senior-Projects/BOLO-Flier-Creator,2.0
Derecho/JWordGame,2.0
georeliz/AppMovil,2.0
GRA-UML/specification,2.0
gosaliajigar/VAPP,2.0
Geonovum/IMGeo,2.0
remram/ch.hszt.guideme,2.0
SolutioSoftware/Licita,2.0
remileduc/listiz,2.0
dmosen/wiki-analysis,2.0
dennisguse/pjsip,2.0
woopengcheng/LibCore,2.0
MichalKrasowski/staruml,2.0
edna-site/edna-rcp,2.0
wvanheemstra/core,2.0
FlexOS/frameworks_base,2.0
deveck/Deveck.TAM,2.0
freeuni-sdp/snake-15,2.0
DevBoost/Reuseware,2.0
WandererFan/FreeCAD-TechDraw,2.0
alexsandro-xpt/ErysDownloader,2.0
roussel2nis/vertical-medical-roussel2nis,2.0
googlegsa/filesystem.v3,2.0
flexiblepower/fpai-documentation,2.0
michbarsinai/PlayfulEye,2.0
Whazor/Barricade,2.0
Fiware/docs.TourGuide,2.0
lunatik-210/codefest2013,2.0
alfithrareynaldi25/StrukturData-2015,2.0
algaworks/exemplo-edicao-many-to-many,2.0
softwarepublico/oasis,2.0
Luminoth/BackpackPlanner,2.0
gmamaladze/R2D2.Net,2.0
snahider/Switch-Transaccional,2.0
diego04/cmput410-project,2.0
dwicke/ycp-robot,2.0
gfranko/gfranko.github.com,2.0
Divoo/Process-Scheduling-Simulator,2.0
Divoo/AWATester,2.0
Gigaspaces/xap-docs,2.0
magnayn/wcf,2.0
rsommerard/ftp-server-java,2.0
rpgreen/DeskCycle,2.0
district10/qt-design-pattern-book,2.0
ModelWriter/Deliverables,2.0
slvrgauthier/OpenSculpt,2.0
Dissem/Bachelor-Thesis,2.0
mNisblee/MineSweeperMatrix,2.0
gingerhendrix/cruise_notes,2.0
giorgiosironi/Chansonnier,2.0
aleabalo/SanJoseTrivia,2.0
maersu/roal,2.0
wox2/migrace_databaze,2.0
magniffico/OOTanks,2.0
Glynn-Taylor/9-Gates,2.0
ShinyROM/android_platform_frameworks_base,2.0
ggonzalez/Culebra,2.0
wenxinguo/xisip,2.0
iblancasa/ArduBand,2.0
shirdrn/storm-realtime,2.0
rizomm-ramm/carpooling,2.0
martalex/gameprogrammingpatterns,2.0
Adnel/Catalogize,2.0
franklixuefei/quadris,2.0
DiyanTonchev/SoftUni,2.0
ggobi/paper-missingGUI,2.0
ala-k/conTECt,2.0
gidlbn/dlbn_02,2.0
RishabhJain96/RoboWebProj,2.0
djat/suprabrowser,2.0
dymayday/bearded-happiness,2.0
risentveber/Old-code,2.0
maelstromdat/OSTIA,2.0
wpbest/copperspice,2.0
dzuluaga/generator-oauth-auth-code-grant-sample,2.0
wrightsd/csse374-project,2.0
giuliol/jsatsim,2.0
Fosstrak/fosstrak,2.0
majingyi/CCD_jchess,2.0
glaucomunsberg/horizonte4Zeros,2.0
foss-for-synopsys-dwc-arc-processors/legacy-arc-gnu-repo,2.0
formix/MegaCityOne,2.0
glemson/vo-urp,2.0
sherdt/reservation,2.0
MohammedAnsary/Wordspace,2.0
geshenyi/Teasy,2.0
DieSuperSexySystemSchreiber/P-Seminar,2.0
gloaec/perl-ecommerce,2.0
skliche/request-metrics-analyzer-next,2.0
marvellouz/asp-project,2.0
WormBase/website-intermine,2.0
fmouta/EAPLI_PL_2DH,2.0
dwdii/DataAcqMgmt,2.0
adetaylor/android-frameworks-base-with-remote-control-service,2.0
Mackro/CMP,2.0
web-development/web-development.github.com,2.0
MainMa/mockeverything,2.0
mNisblee/DroidSweeper,2.0
frameworkmaestro/maestro,2.0
gisce/openobject-addons-extra,2.0
webclown/webclown.github.io,2.0
GISMentors/qgis-zacatecnik,2.0
rtorraca/SGCF,2.0
mola/qgis,2.0
GiterLab/arm-qt5.4.0-opengl,2.0
molily/schulung,2.0
web-selainohjelmointi/web-selainohjelmointi.github.io,2.0
Alen3004/ecommerce-rest-service,2.0
skorpioniche/Iplayer,2.0
e0725675/ModelEngineeringWS14,2.0
RubenAgudo/TFG_Documentation,2.0
dukeboard/kevoree-talks,2.0
eduavila/AgroControle,2.0
gre/University-nostalgia,2.0
mattiadagrada/myTaxiService,2.0
sirnicolaz/F1-Simulator,2.0
sirinath/root,2.0
RazerRom/frameworks_base,2.0
seriesrenamer/seriesrenamer,2.0
gustavoem/ucs-robdd,2.0
Elabas/AS_Semester_projekt,2.0
spierr/ForosIsis,2.0
davidedwardjones/Kalah,2.0
Matthimatiker/MolComponents,2.0
Rawr-IngeSoft/RawrProject,2.0
sagarpanda/ext-4.2.1-gpl,2.0
MiageSdV/Serveur-de-voeux,2.0
spinephp/dry-host,2.0
robertpanzer/robertpanzer.github.com,2.0
widz/widz-dokumentacja,2.0
RobertSchlich/shm,2.0
abdelrady/MyCodeSamples,2.0
matthieu637/smile,2.0
rcardin/rcardin.github.io,2.0
fgarel/myDebianInstall01,2.0
fgm2/reforco,2.0
sirrice/6092,2.0
vnsofthe/odoo-dev,2.0
xat/contao-rpc,2.0
DawnScience/dawn-tango,2.0
mkuthan/design-fsm,2.0
guillaumeagile/AtelierCleanArchitecture2013,2.0
rbsilva/tc-alr,2.0
lorinma/simcon,2.0
spartacus-technologies/helsinkipaatokset,2.0
AbelianGroupInc/LmInterpreter,2.0
ffurkAn/SocialNetwork,2.0
matthew-somers/151project,2.0
Safrout1/DropOffice,2.0
rbeede/distributed-wpa-cracking,2.0
RazmikDev/Eco-Tools,2.0
lolopasdugato/MCWarClan,2.0
AMOSTeam3/amos-ss15-proj3,2.0
wiglot/CCP,2.0
sipfoundrydev/sipXconfig,2.0
habeascorpus/habeascorpus-data-withComments,2.0
sallareznov/m1s2,2.0
markusbona/igs-sift,2.0
sallareznov/scalagent,2.0
anas/feedstore,2.0
llohellohe/cp,2.0
SergeyTeplyakov/CrazyTalk,2.0
francois/mor9-refactoring-to-patterns,2.0
log0ymxm/slcc-eportfolio,2.0
geekboxzone/lollipop_frameworks_base,2.0
vishwanathj/vish-openstack,2.0
andela-kogunde/Library,2.0
elliot79313/WebRTC,2.0
ljian1992/Monitor,2.0
spyked/thetarpit.org,2.0
maupatras/ns3_teamA,2.0
sallareznov/JunitMe,2.0
anarcher/talks,2.0
lmucs/wutup,2.0
Daso/UPC-POO-2013-2-M1-E31A,2.0
gyagapen/Synox,2.0
dave-turvey/netflow,2.0
DudaKamil/battleships,2.0
fenriswolf/examples,2.0
Xeago/Carnaval-Radio,2.0
ahuitz/FinalPortalURL,2.0
aayvazyan-tgm/RouterManagementProject_RockTheNet,2.0
spockz/Products.Doormat,2.0
wiglot/TCC,2.0
lockdowne/Telis-MapEditor,2.0
elias19r/ciencia-da-computacao,2.0
Geekly/pybcm,2.0
anair/sipxecs,2.0
sallareznov/gc-levenshtein,2.0
dat0106/datkts0106,2.0
sachinkushwaha/DesignPatterns,2.0
rchuppala/usc_agent,2.0
remdex/fof,2.0
redradiant/centsible,2.0
griffinfujioka/Archive,2.0
wyingtian/Smart-Home-Model-Controller,2.0
deepubansal/BuildMessenger,2.0
Whissi/shorewall,2.0
ABjelotomic/ART,2.0
Redspikers/8-bar-swing,2.0
deepakjangid123/Flight-Ticket-Booking,2.0
ALPSquid/0Bit-Engine,2.0
deib-polimi/Corretto,2.0
malmostad/eservices-platform,2.0
GroupI9/IBMS,2.0
redlink-gmbh/redlink-gmbh.github.io,2.0
maltuntas/Dice,2.0
rotexsoft/leanorm,2.0
sgip/MacheoNombresInstituciones,2.0
sitkatech/miradi-client,2.0
Grievoushead/WebHRM,2.0
mmcglynn45/nmapXCODE,2.0
abersailbot/dewi-hardware,2.0
deltaluca/flappy,2.0
MathosProject/Mathos-Parser-CIL,2.0
RemcoDaniel/Thema6-team10,2.0
www2012/W4H,2.0
w495/empweb,2.0
greekit/VariousHomeworkAssignments,2.0
Robbbert/mameui,2.0
AdrianMarinica/Timr,2.0
regressiontesttool/rtt,2.0
soomro/vms_industrialchallenge,2.0
s165519/Gruppeoppgaver-Adrian-og-Hallbjorn,2.0
allis-asso/manage-park,2.0
malla/TDA367,2.0
DEKHTIARJonathan/ShapeLearner,2.0
fioan89/railsimulator,2.0
mallamanis/randgen,2.0
Fininvest/virtocommerce,2.0
decaprox/l4re-snapshot,2.0
s40907/streaming-frameworks,2.0
deazurain/uni,2.0
FHIMS/FHIM,2.0
RealVNC/android-platform-frameworks-base,2.0
mthjones/Hospital-Manager,2.0
egoless/pqs,2.0
GTNDYanagisawa/million,2.0
fhir-crucible/fhir_dstu2,2.0
miparnisari/teoriadealgoritmos,2.0
gto76/basket-stats,2.0
SpacemanRiff/spring-semester-project,2.0
Redb3n/Wired,2.0
sewonist/sewonist.github.io,2.0
michaelcouck/ikube,2.0
GuardOfDawn/DessertHouse,2.0
vokal/android_frameworks_base,2.0
EiffelSoftware/eiffel-org,2.0
void-type/Time_Clock_Web_App_and_API,2.0
gugu-lee/x-talker,2.0
gsutil-mirrors/google-api-python-client,2.0
mattcaldwell/ClassifiedAsCake,2.0
gemoc/coordination,2.0
sourcesense/cruise-monitor,2.0
msbaek/breaking-inheritance-dependency,2.0
deanogorman/Our-Bloody-Project,2.0
Dean177/jumpy-bird-react-demo,2.0
msf12/Division-3,2.0
dobit/SSO,2.0
Dobosz/Faith-Engine,2.0
alvesjnr/T100,2.0
figueira/Orinoco-Urgencias,2.0
dduportal/dduportal.github.io,2.0
markusmo/HotelSoftware,2.0
ManfredHu/someExercise,2.0
DDS2014/OPF5,2.0
sfpprxy/myhub,2.0
docwhite/PhongoClapRT,2.0
doczir/EMFIncQuery-CPP,2.0
corebob/burn,2.0
joshontheweb/somethingcoded,2.0
TeamW/Sports-Elimination-TP3,2.0
tamada/stigmata,2.0
pankona/gomobile_sprite_test,2.0
jjhaggar/ninja-trials,2.0
papa99do/survey,2.0
BShakhovsky/PianoFingering,2.0
isawnyu/PleiadesEntity,2.0
ulisses/delusion-honeypot-paper,2.0
isel-leic-mpd/mpd-2015-i41n,2.0
bendbowden/aosp_platform_frameworks_base,2.0
Polytheus/android_frameworks_base,2.0
bstock92/ShipMate,2.0
thiagobandeirars/trabalhosg2,2.0
btompkins/CodeBetter.Com-Wordpress,2.0
bellevik/glory,2.0
jinb-park/KernelMemoryAnalyzer,2.0
jinahya/jinahya,2.0
parkland-CSC191/instructor,2.0
christophe-r/UTBM-Minesweeper,2.0
ulrikpedersen/phdf5write,2.0
ultimatecodelab/WordCloudAPI,2.0
JunichiIto/passenger_overflow2,2.0
aullman/aullman.github.com,2.0
UMONS-GFA/bdas,2.0
AugmentedDesignLab/botprint2,2.0
UMLArchitect/UMLArchitect,2.0
jld/linaro-android-gcc,2.0
umjembersoft/pbwlanjut20141,2.0
iptomar/letrinhas_as,2.0
kluckow/netspy,2.0
pamerca/bf_app,2.0
jjn1056/Librestock-Server,2.0
szmingyao/THU_Jump,2.0
nim65s/N7,2.0
t-moe/discoverpixy,2.0
klhurley/ElementalEngine2,2.0
kjy112/TempestAlert,2.0
t321/memoriaPFC,2.0
popbl6/eMandoa,2.0
it2901g10/GROUP10-baf_sintef_arduino,2.0
christinemoses/project2-front-end,2.0
chiquitto/AulasUnipar2015,2.0
PoliM/bbvfsm,2.0
pmanoonpong/gorobots_edu,2.0
IvanBogdanyuk/RoboCP,2.0
plt-tud/r43ples-merging-client,2.0
becuz/RESTmoteControl,2.0
patefacio/codegen,2.0
buren/enduro,2.0
PathogenDavid/Periodic,2.0
axelreichwein/SysML2OSLCResourceShapes,2.0
kinetiknz/gecko,2.0
ufpb-computacao/analise-e-projeto-sistemas-livro,2.0
bebopsan/peyeQM,2.0
Ayatallah/Twikly,2.0
Jiboo/bluestorm,2.0
patreu22/Twittex,2.0
burzumie/sip_softphone,2.0
BeatProgramming/teacher_tracker,2.0
UFAL-DSG/pjsip,2.0
olamy/tesla,2.0
chrban/prosjektoppgave-cpp,2.0
ivababukova/TP3-Security-game,2.0
chrisPiemonte/car-loan,2.0
ParthiBa/LogicUnivStationeryStore,2.0
christiansalazar/crugeconnector,2.0
PascalPrecht/full-spectrum-testing-slides,2.0
niumuguang/TribonJig,2.0
njdart/botanyAppRepo,2.0
njguibert/inventario,2.0
pol51/OpenDiameter,2.0
juzu/juzu.github.com,2.0
BuildmLearn/BuildmLearn-Store,2.0
thervh70/SEM_Team9,2.0
podd/podd-publications,2.0
Kinokoh/grOverflow,2.0
jwanglof/TDP005,2.0
jwomeara/jace,2.0
buidinhduong/DLLIB,2.0
iut-ibk/DynaMind-UrbanSim,2.0
brunodiniz/KSE,2.0
nilmtk/writing,2.0
BrunoCheble/novopedido,2.0
powerstorm/PowerStorm,2.0
berlinbrown/berlinbrown.github.com,2.0
bref/bref.github.com,2.0
bergsteiger/dummycalculator,2.0
KreasonAaronNaidoo/COMP315,2.0
Nico60/frameworks_base,2.0
inselberge/Amphibian,2.0
SychevIgor/blog,2.0
juanmanpr/master_thesis,2.0
universAAL/remote,2.0
universAAL/applications,2.0
nicolabricot/Training-Day,2.0
nicolas-manaud/rsslounge,2.0
onibuscerto/monografia,2.0
NIEM-UML/NIEM-UML-3,2.0
kosmaks/avr.js,2.0
joao-parana/trusty-php,2.0
joanfont/rhodes,2.0
berlinbrown/BottomUpAIandCellularAutomata,2.0
nickveenhof/devdays_solr_wizardry,2.0
UNPSJB/MIAPastas,2.0
berlinbrown/doingitwrongnotebook,2.0
prateekmehrotra/Android-Paint-Application-with-Gestures,2.0
